ID,Type,Title,Authors,Abstract,Categories,Published,DOI,PDF URL,Status
ieee:8811567,journal,On Finite Alphabet Iterative Decoding of LDPC Codes With High-Order Modulation,"Xuan He, Kui Cai, Zhen Mei","This work aims to apply the mutual information-maximizing finite alphabet iterative decoding (MIM-FAID) method to decode low-density parity-check (LDPC) codes with high-order modulation. To this end, we propose an efficient model, through which our task becomes to design an MIM quantizer for a binary-input continuous memoryless channel (CMC) with log-likelihood ratios (LLRs) as the output. We then...",,Nov. 2019,10.1109/LCOMM.2019.2937112,https://ieeexplore.ieee.org/document/8811567,new
ieee:8851282,journal,Performance Analysis of Finite-Length LDPC Codes Over Asymmetric Memoryless Channels,"Zhen Mei, Kui Cai, Guanghui Song","In this paper, we analyze the waterfall performance of finite-length low-density parity-check (LDPC) codes for asymmetric memoryless channels by considering variations of channel parameters: the observed bit error rate Pobs and mutual information Iobs during the real-time transmission. Moreover, we propose to use the variation of a new channel parameter: the maximal achievable channel coding rate ...",,Nov. 2019,10.1109/TVT.2019.2944139,https://ieeexplore.ieee.org/document/8851282,new
ieee:8802283,journal,A Study on Block-Based Neural Network Equalization in TDMR System With LDPC Coding,"Ke Luo, Shaobing Wang, Kheong Sann Chan, Wei Chen, Jincai Chen, Ping Lu, Weiming Cheng","To achieve a high track density, two-dimensional magnetic recording (TDMR) is combined with shingled magnetic recording (SMR). SMR makes it possible to record 1 bit on a few grains. However, the performance will be remarkably deteriorated by the increased media noise, the inter-track and inter-symbol interference (ITI and ISI). Therefore, the application of effective equalization and error control...",,Nov. 2019,10.1109/TMAG.2019.2931760,https://ieeexplore.ieee.org/document/8802283,new
ieee:8792126,journal,Construction of Girth-8 QC-LDPC Codes Free of Small Trapping Sets,"Sima Naseri, Amir H. Banihashemi","In this letter, we propose a new technique to design quasi-cyclic low-density parity-check (QC-LDPC) codes with girth 8 and variable node degrees 3 and 4. Small trapping sets are avoided in the designed codes by imposing simple constraints on the cycles of length 8 in the code&#39;s Tanner graph. We also derive lower bounds on the block length of the codes that can satisfy such constraints. Simulation...",,Nov. 2019,10.1109/LCOMM.2019.2933828,https://ieeexplore.ieee.org/document/8792126,new
ieee:8804231,journal,Near-Capacity Detection and Decoding: Code Design for Dynamic User Loads in Gaussian Multiple Access Channels,"Xiaojie Wang, Sebastian Cammerer, Stephan Ten Brink","This paper considers the forward error correction (FEC) code design for approaching the capacity of a dynamic multiple access channel (MAC) where both the number of users and their respective signal powers keep constantly changing, resembling the scenario of an actual wireless cellular system. To obtain a low-complexity non-orthogonal multiple access (NOMA) scheme, we propose a serial concatenatio...",,Nov. 2019,10.1109/TCOMM.2019.2935726,https://ieeexplore.ieee.org/document/8804231,new
ieee:8794566,journal,Cross-Packet Coding for Delay-Constrained Streaming Applications,"Giuseppe Cocco, Dario Floreano","Delay-constrained streaming from a moving platform is of paramount importance for applications such as the remote control of drones, where a low-delay video stream is required in order to provide visual feedback to the pilot while providing high quality video at playback. In this letter we propose a scheme based on cross-packet coding for delay-constrained streaming over block fading channels with...",,Nov. 2019,10.1109/LCOMM.2019.2934684,https://ieeexplore.ieee.org/document/8794566,new
ieee:8815929,journal,Successive Wyner-Ziv Coding for the Binary CEO Problem Under Logarithmic Loss,"Mahdi Nangir, Reza Asvadi, Jun Chen, Mahmoud Ahmadian-Attari, Tad Matsumoto","The  $L$ -link binary Chief Executive Officer (CEO) problem under logarithmic loss is investigated in this paper. A quantization splitting technique is applied to convert the problem under consideration to a  $(2L-1)$ -step successive Wyner-Ziv (WZ) problem, for which a practical coding scheme is proposed. In the proposed scheme, Low-Density Generator-Matrix (LDGM) codes are used for binary quanti...",,Nov. 2019,10.1109/TCOMM.2019.2937932,https://ieeexplore.ieee.org/document/8815929,new
ieee:8792202,journal,Enhanced Machine Learning Techniques for Early HARQ Feedback Prediction in 5G,"Nils Strodthoff, Barış Göktepe, Thomas Schierl, Cornelius Hellge, Wojciech Samek","We investigate Early Hybrid Automatic Repeat reQuest (E-HARQ) feedback schemes enhanced by machine learning techniques as a path towards ultra-reliable and low-latency communication (URLLC). To this end, we propose machine learning methods to predict the outcome of the decoding process ahead of the end of the transmission. We discuss different input features and classification algorithms ranging f...",,Nov. 2019,10.1109/JSAC.2019.2934001,https://ieeexplore.ieee.org/document/8792202,new
ieee:8811626,journal,Spiral Constellations for Phase Noise Channels,"Alessandro Ugolini, Amina Piemontese, Thomas Eriksson","In this paper, we consider the design of spiral constellations for channels affected by phase noise. The strength of the proposed constellations resides both on the performance and on the extreme simplicity of the design. The symbols can in fact be expressed in analytical form, and are uniquely defined through a single parameter that accounts for the phase and thermal noise variances. The structur...",,Nov. 2019,10.1109/TCOMM.2019.2937293,https://ieeexplore.ieee.org/document/8811626,new
ieee:8770064,journal,Shaped On–Off Keying Using Polar Codes,"Thomas Wiegart, Fabian Steiner, Patrick Schulte, Peihong Yuan","The probabilistic shaping scheme by Honda and Yamamoto (2013) for polar codes is used to enable power-efficient signaling for on-off keying (OOK). As OOK has a non-symmetric optimal input distribution, shaping approaches that are based on the concatenation of a distribution matcher followed by systematic encoding do not result in optimal signaling. Instead, these approaches represent a time-sharin...",,Nov. 2019,10.1109/LCOMM.2019.2930511,https://ieeexplore.ieee.org/document/8770064,new
ieee:8821377,journal,On Channel Quantization for Spin-Torque Transfer Magnetic Random Access Memory,"Zhen Mei, Kui Cai, Long Shi, Xuan He","As emerging memories such as spin-torque transfer magnetic random access memory (STT-MRAM) suffer from reliability issues caused by process variations and thermal fluctuations, the design of channel quantizer with the minimum number of quantization bits is critical to support effective error correction coding for ensuring high-density and high-speed memory data storage. In this paper, we first pro...",,Nov. 2019,10.1109/TCOMM.2019.2938747,https://ieeexplore.ieee.org/document/8821377,new
ieee:8805334,journal,Neighbor-A-Posteriori Information Assisted Cell-State Adaptive Detector for NAND Flash Memory,"Zishuai Peng, Ruiquan He, Guojun Han, Guofa Cai, Yi Fang","Cell-to-Cell interferences (CCIs), which arise from adjacent cells through parasitic coupling-capacitance, severely degrade the performance of threshold voltage detection. Pre-processing and post-processing methods have been proposed to mitigate the effect of CCIs on threshold voltage variation. The performance of the aforementioned methods heavily depends on the accuracy of the threshold voltages...",,Nov. 2019,10.1109/LCOMM.2019.2936342,https://ieeexplore.ieee.org/document/8805334,new
ieee:8746813,journal,Polylog-LDPC Capacity Achieving Codes for the Noisy Quantum Erasure Channel,"Seth Lloyd, Peter Shor, Kevin Thompson","We provide polylog sparse quantum codes for correcting the Erasure channel arbitrarily close to the capacity. Specifically, we provide the [[n, k, d]] quantum stabilizer codes that correct for the erasure channel arbitrarily close to the capacity if the erasure probability is at least 0.33 and with a generating set (S1, S2, ... Sn-k) such that |Si| ≤ log2+ζ(n) for all i and for any ζ > 0 with high...",,Nov. 2019,10.1109/TIT.2019.2925100,https://ieeexplore.ieee.org/document/8746813,new
