ID,Type,Title,Authors,Abstract,Categories,Published,DOI,PDF URL,Status
ieee:8846741,journal,LOCO Codes: Lexicographically-Ordered Constrained Codes,"Ahmed Hareedy, Robert Calderbank","Line codes make it possible to mitigate interference, to prevent short pulses, and to generate streams of bipolar signals with no direct-current (DC) power content through balancing. They find application in magnetic recording (MR) devices, in Flash devices, in optical recording devices, and in some computer standards. This paper introduces a new family of fixed-length, binary constrained codes, n...",,June 2020,10.1109/TIT.2019.2943244,https://ieeexplore.ieee.org/document/8846741,new
ieee:9044760,journal,Efficient-Memory and Low-Latency BP Decoding Algorithm for Polar Codes,"Baoping Feng, Rongke Liu","In order to reduce memory and latency of the belief propagation (BP) decoding algorithm, we use new constituent codes to simplify the message passing of factor graph for polar codes. Since the left-to-right (right) messages of top level of constituent code are directly updated by the right-to-left (left) messages without visiting its sub-factor graph, which saves the corresponding memory entries a...",,June 2020,10.1109/LCOMM.2020.2982643,https://ieeexplore.ieee.org/document/9044760,new
ieee:9035663,journal,Efficient Majority-Logic Reed-Solomon Decoders for Single Symbol Correction,"Francisco Garcia-Herrero, Alfonso Sánchez-Macián, Mateo San-Isidro, Luis Alberto Aranda, Juan Antonio Maestro","A new low-complexity method to decode single symbol correction Reed-Solomon codes is proposed in this paper. This decoding algorithm takes advantage of the equivalent parity-check matrix representation to apply majority logic techniques that avoid the needs of computing Galois Field inversions, divisions and logarithms, unlike previous efficient solutions. The derived architectures allow to increa...",,June 2020,10.1109/TDMR.2020.2980754,https://ieeexplore.ieee.org/document/9035663,new
ieee:9034012,journal,Future 5G mmWave TV Service With Fast List Decoding of Polar Codes,"Tao Hong, Tao Tang, Xinjie Dong, Rongke Liu, Weiting Zhao","The commercial deployment of 5G technology has brought new opportunities and challenges to digital broadcasting service. Digital broadcasting, together with other applications, will have to rely on 5G mmWave channel to transmit high quality signals. In mmWave band, channel coding is a key technology to ensure reliable information transmission and quality of service. This paper correspondingly prop...",,June 2020,10.1109/TBC.2020.2977561,https://ieeexplore.ieee.org/document/9034012,new
ieee:9198058,journal,"Intelligent cognitive spectrum collaboration: Convergence of spectrum sensing, spectrum access, and coding technology","Peixiang Cai, Yu Zhang","For a future scenario where everything is connected, cognitive technology can be used for spectrum sensing and access, and emerging coding technologies can be used to address the erasure of packets caused by dynamic spectrum access and realize cognitive spectrum collaboration among users in mass connection scenarios. Machine learning technologies are being increasingly used in the implementation o...",,June 2020,10.23919/ICN.2020.0006,https://ieeexplore.ieee.org/document/9198058,new
ieee:9122624,magazine,Pilot domain NOMA for grant-free massive random access in massive MIMO marine communication system,"Yongxin Liu, Ming Zhao, Limin Xiao, Shidong Zhou","We propose a pilot domain non-orthogonal multiple access (NOMA) for uplink massive devices grant-free random access scenarios in massive multiple-input multiple-output (MIMO) maritime communication systems. These scenarios are characterized by numerous devices with sporadic access behavior, and therefore only a subset of them are active. Due to massive potential devices in the network, it is infea...",,June 2020,10.23919/JCC.2020.06.011,https://ieeexplore.ieee.org/document/9122624,new
ieee:9097207,journal,Deep Learning-Aided Belief Propagation Decoder for Polar Codes,"Weihong Xu, Xiaosi Tan, Yair Be’ery, Yeong-Luh Ueng, Yongming Huang, Xiaohu You, Chuan Zhang","This paper presents deep learning (DL) methods to optimize polar belief propagation (BP) decoding and concatenated LDPC-polar codes. First, two-dimensional offset Min-Sum (2-D OMS) decoding is proposed to improve the error-correction performance of existing normalized Min-Sum (NMS) decoding. Two optimization methods used in DL, namely back-propagation and stochastic gradient descent, are exploited...",,June 2020,10.1109/JETCAS.2020.2995962,https://ieeexplore.ieee.org/document/9097207,new
ieee:9056461,journal,Enhancements on Coding and Modulation Schemes for LTE-Based 5G Terrestrial Broadcast System,"Yin Xu, Na Gao, Hanjiang Hong, Yang Cai, Xiaohan Duan, Dazhi He, Yiyan Wu, Wenjun Zhang","Broadcasting and broadband network is moving towards integration and LTE-based 5G terrestrial broadcast is now researched in Release 16 in Third Generation Partnership Project (3GPP) standardization meetings. However, the work scope of LTE-based 5G terrestrial broadcast focuses on specifying new numerologies and some minor improvement on cell acquisition subframe, which is insufficient. In this pa...",,June 2020,10.1109/TBC.2020.2981772,https://ieeexplore.ieee.org/document/9056461,new
ieee:9108219,journal,"Artificial Intelligence for 5G and Beyond 5G: Implementations, Algorithms, and Optimizations","Chuan Zhang, Yeong-Luh Ueng, Christoph Studer, Andreas Burg","The communication industry is rapidly advancing towards 5G and beyond 5G (B5G) wireless technologies in order to fulfill the ever-growing needs for higher data rates and improved quality-of-service (QoS). Emerging applications require wireless connectivity with tremendously increased data rates, substantially reduced latency, and growing support for a large number of devices. These requirements po...",,June 2020,10.1109/JETCAS.2020.3000103,https://ieeexplore.ieee.org/document/9108219,new
ieee:8995639,journal,Information Update: TDMA or FDMA?,"Haoyuan Pan, Soung Chang Liew","This letter studies information freshness in information update systems operated with TDMA and FDMA. Information freshness is characterized by a recently introduced metric, age of information (AoI), defined as the time elapsed since the generation of the last successfully received update. In an update system with multiple users sharing the same wireless channel to send updates to a common receiver...",,June 2020,10.1109/LWC.2020.2973384,https://ieeexplore.ieee.org/document/8995639,new
