ID,Type,Title,Authors,Abstract,Categories,Published,DOI,PDF URL,Status
ieee:10545331,journal,A Mobile Reception Experiment of Galileo Improved I/NAV Navigation Messages,Satoshi Takahashi,"In satellite positioning, both the reception of ranging signals and the acquisition of navigation messages are necessary. In general, the acquisition of navigation messages does not always require the reception of radiowaves; however, when radiowaves are used for acquisition, a period of continuous reception significantly longer than one second is required. The European satellite positioning syste...",,November 2,10.23919/transcom.2023EBP3212,https://ieeexplore.ieee.org/document/10545331,new
ieee:10620337,journal,Error-Correction Performance of Regular Ring-Linear LDPC Codes Over Lee Channels,"Jessica Bariffi, Hannes Bartz, Gianluigi Liva, Joachim Rosenthal","Most low-density parity-check (LDPC) code constructions are considered over finite fields. In this work, we focus on regular LDPC codes over integer residue rings and analyze their performance with respect to the Lee metric. Their error-correction performance is studied over two channel models, in the Lee metric. The first channel model is a discrete memoryless channel, whereas in the second chann...",,Nov. 2024,10.1109/TIT.2024.3436938,https://ieeexplore.ieee.org/document/10620337,new
ieee:10677441,journal,List-Based Optimization of Proximal Decoding for LDPC Codes,"Andreas Tsouchlos, Holger Jäkel, Laurent Schmalen","In this letter, the proximal decoding algorithm is considered within the context of additive white Gaussian noise (AWGN) channels. An analysis of the convergence behavior of the algorithm shows that proximal decoding inherently enters an oscillating behavior of the estimate after a certain number of iterations. Due to this oscillation, frame errors arising during decoding can often be attributed t...",,Nov. 2024,10.1109/LCOMM.2024.3458422,https://ieeexplore.ieee.org/document/10677441,new
ieee:10666082,journal,Task-Oriented Scene Graph-Based Semantic Communications With Adaptive Channel Coding,"Shiqi Sun, Zhijin Qin, Huiqiang Xie, Xiaoming Tao","Semantic communications have shown great potential in reducing the transmitted data amount through the powerful capability to extract and transmit essential semantic information. Although existing works have achieved certain transmission efficiency, challenges such as efficiently interpretable semantic extraction, and dynamically adaptive channel coding have not been fully explored. In this paper,...",,Nov. 2024,10.1109/TWC.2024.3450697,https://ieeexplore.ieee.org/document/10666082,new
ieee:10584079,journal,Progressive Construction of Two-Dimensional Polar Codes With Path-Selective Decoder,"Pu Qi, Hongxia Kou, Jie Yang, Hua Zhang","Polar codes are extensively employed in Ultra-Reliable Low Latency (URLL) scenarios due to their near Maximum Likelihood (ML) performance. This letter introduces a novel two-dimensional polar coding scheme paired with a highly parallelized decoder. To construct the codes within this scheme, we present a refined frozen bits selection algorithm termed Double Gaussian Approximation (DGA), enabling pr...",,Nov. 2024,10.1109/LWC.2024.3422877,https://ieeexplore.ieee.org/document/10584079,new
ieee:10663765,journal,Analog Error-Correcting Codes: Designs and Analysis,Anxiao Jiang,"A new type of analog error-correcting codes (Analog ECCs) has been proposed by Roth recently. The codes can correct errors of unlimited magnitudes even though the codeword is affected not only by such errors, but also by ubiquitous noise of limited magnitudes. The codes have the potential to accelerate the widely used vector-matrix multiplication in machine learning via their implementation in nan...",,Nov. 2024,10.1109/TIT.2024.3454059,https://ieeexplore.ieee.org/document/10663765,new
ieee:10673895,journal,Bayes-Optimal Estimation in Generalized Linear Models via Spatial Coupling,"Pablo Pascual Cobo, Kuan Hsieh, Ramji Venkataramanan","We consider the problem of signal estimation in a generalized linear model (GLM). GLMs include many canonical problems in statistical estimation, such as linear regression, phase retrieval, and 1-bit compressed sensing. Recent work has precisely characterized the asymptotic minimum mean-squared error (MMSE) for GLMs with i.i.d. Gaussian sensing matrices. However, in many models there is a signific...",,Nov. 2024,10.1109/TIT.2024.3455228,https://ieeexplore.ieee.org/document/10673895,new
ieee:10589269,journal,ADMM-Based Detector for Large-Scale MIMO Dense Code-Domain NOMA Systems,"Vinjamoori Vikas, Kuntal Deka, Sanjeev Sharma, A. Rajesh","Sparse code multiple access (SCMA) is a popular code-domain (CD) non-orthogonal multiple access (NOMA) technique that excels in segregating multiple users&#39; signals. In SCMA, sparse codewords are detected using the powerful message-passing algorithm (MPA). However, SCMA systems suffer from a limited diversity order (DO). Conversely, dense code multiple access (DCMA) systems, which do not possess a ...",,Nov. 2024,10.1109/TVT.2024.3424690,https://ieeexplore.ieee.org/document/10589269,new
ieee:10684762,journal,Optimization of Delayed Bit-Interleaved Coded Modulation in the High-SNR Regime,"Harindu Jayarathne, Dileepa Marasinghe, Nandana Rajatheva, Matti Latva-Aho","In this letter, we investigate the capacity of delay schemes in delayed bit-interleaved coded modulation (DBICM) at high signal-to-noise ratios (SNR) using alternative methods to numerical integration. A closed-form formula is derived to approximate the DBICM capacity at high SNR. For Gray codes, DBICM capacity is proven as asymptotically optimal irrespective of the delay scheme and we further cha...",,Nov. 2024,10.1109/LCOMM.2024.3464873,https://ieeexplore.ieee.org/document/10684762,new
ieee:10636939,journal,"Unrolled, Pipelined, and Stage-Folded Architectures for Encoding of Multi-Kernel Polar Codes","Hossein Rezaei, Elham Abbasi, Nandana Rajatheva, Matti Latva-Aho","Over the past decade, polar codes have received significant attraction and have been selected as the coding method for the control channel in fifth-generation (5G) wireless communication systems. However, conventional polar codes are reliant solely on binary ( $2 \times 2$ ) kernels, which restricts their block length to being only powers of 2. In response, multi-kernel (MK) polar codes have been ...",,Nov. 2024,10.1109/TVLSI.2024.3436872,https://ieeexplore.ieee.org/document/10636939,new
ieee:10605792,journal,Decoding of Polar Codes Using Quadratic Unconstrained Binary Optimization,"Huayi Zhou, Ryan Seah, Marwan Jalaleddine, Warren J. Gross","Polar codes encounter challenges in decoder complexity while preserving good error-correction properties. Instead of conventional decoders, a quantum annealer (QA) decoder has been proposed to explore untapped possibilities. For future QA applications, a crucial prerequisite is transforming the optimization problem into quadratic unconstrained binary optimization (QUBO) form. However, existing QUB...",,Nov. 2024,10.1109/JSAC.2024.3431579,https://ieeexplore.ieee.org/document/10605792,new
ieee:10680162,journal,ECCPM: An Efficient Internal Data Migration Scheme for Flash Memory Systems,"Haihua Hu, Guojun Han, Wenhua Wu, You Zhou, Chang Liu","The copyback command can be used to accelerate data migration in solid-state drives. However, the reliability of this command is not guaranteed, posing challenges for broad utilization within the consumer electronics device. The existing algorithms for predicting the copyback threshold do not consider two issues: 1) Due to page/wordline restrictions restrictions, the accumulation of errors across ...",,Nov. 2024,10.1109/TCE.2024.3459892,https://ieeexplore.ieee.org/document/10680162,new
ieee:10689616,journal,Low-Complexity Huffman Coding-Based Adaptive Spatial Modulation,"Gangfei Hu, Yukun Yang, Pingping Shang, Yuyang Peng, Poongundran Selvaprabhu, Han Hai","Adaptive spatial modulation (ASM) is a novel technology in multiple-input-multiple-output (MIMO) systems, which dynamically adjusts the modulation order of the transmit antenna based on the constantly changing channel state information (CSI). The combination of ASM and Huffman coding, using the Huffman method, allows for flexible spatial symbols to provide different activation probabilities for th...",,Nov. 2024,10.1109/LCOMM.2024.3467169,https://ieeexplore.ieee.org/document/10689616,new
ieee:10606079,journal,Contextual Multi-Armed Bandit-Based Link Adaptation for URLLC,"Sungmo Ku, Chungyong Lee",We propose a contextual multi-armed bandit (MAB) link adaptation to ensure reliability in bursty traffic environments for ultra-reliable and low-latency communication (URLLC). The proposed link adaptation utilizes the estimated decoding success probability which is calculated with the log-likelihood ratio (LLR) as context to select the appropriate modulation and coding scheme (MCS) index for the c...,,Nov. 2024,10.1109/TVT.2024.3431613,https://ieeexplore.ieee.org/document/10606079,new
ieee:10538224,journal,MARS: Message Passing for Antenna and RF Chain Selection for Hybrid Beamforming in MIMO Communication Systems,"Li-Hsiang Shen, Yen-Chun Lo, Kai-Ten Feng, Sau-Hsuan Wu, Lie-Liang Yang","In this paper, we consider a prospective receiving hybrid beamforming structure consisting of several radio frequency (RF) chains and abundant antenna elements in multi-input multi-output (MIMO) systems. Due to conventional costly full connections, we design an enhanced partially connected beamformer employing a low-density parity-check (LDPC)-based structure. As a benefit of the LDPC-based struct...",,Nov. 2024,10.1109/TCOMM.2024.3405327,https://ieeexplore.ieee.org/document/10538224,new
