"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Bit Error Rate Performance Comparison of Low-Density Parity-Check Code and Polar Code","P. S. Wulandari; E. Y. D. Utami; I. K. Timotius","Department of Electronic Engineering, Satya Wacana Christian University, Salatiga, Indonesia; Department of Electronic Engineering, Satya Wacana Christian University, Salatiga, Indonesia; Department of Electronic Engineering, Satya Wacana Christian University, Salatiga, Indonesia",2023 29th International Conference on Telecommunications (ICT),"29 Dec 2023","2023","","","1","6","A fifth generation or 5G wireless communication is claimed to be able to upload data 20 times faster than 4G networks. With the introduction of 5G wireless communication, an error-correcting code is required to detect and reduce errors. From the many existing error-correcting codes, the Low-Density Parity Check (LDPC) Code and Polar Code were chosen because they have many advantages for 5G wireless communication. Here, we report the study results and compare the LDPC and Polar Codes coding techniques on Additive White Gaussian Noise and Rayleigh Multipath Fading channel modeling using Binary Phase Shift Keying (BPSK) modulation. Our study presents the simulation results as the mean and standard error of the Bit Error Rate (BER). From the resulting BER, the Polar Code traversed on the AWGN channel can produce error-free at low Eb/No values. This study emphasizes that Polar Code is a more suitable error-correcting for applications in 5G wireless communication than LDPC Code.","","979-8-3503-6110-0","10.1109/ICT60153.2023.10374061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10374061","5G;error-correcting code;Low-Density Parity Check Code;Polar Code;BER","Wireless communication;5G mobile communication;Simulation;Bit error rate;Parity check codes;Error correction codes;Binary phase shift keying","","5","","19","IEEE","29 Dec 2023","8-9 Nov. 2023","8-9 Nov. 2023","IEEE","IEEE Conferences"
"Performance Analysis of Low-Density Parity Check Codes for 5G Technology","P. Pathak; R. Bhatia","Department of Electronics & Communication Engineering, Netaji Subhas University of Technology, East Campus, New Delhi; Department of Electronics & Communication Engineering, Netaji Subhas University of Technology, East Campus, New Delhi",2023 International Conference on Computer Communication and Informatics (ICCCI),"24 May 2023","2023","","","1","5","In the contemporary world, the need for mobile internet has been increasing progressively, and this increase in demand forces an urgent requirement for 5G wireless communication. In comparison to 4G, the modern 5G cellular system is described by three sets of key use cases, which are Enhanced Mobile Broadband (EMBB), Ultra-Reliable and Low Latency (URLLC), and Massive Machine Type Communications (MMTC), and all these cases require higher throughput, reduced latency, and high reliability. Channel coding improves the efficiency of wireless communication by adding some extra bits to the information to be transmitted in a controlled manner, thereby increasing the efficiency of the communication. The two-channel codes that are receiving more and more attention because of their capacity-achieving capability are Low-Density Parity Check (LDPC) and Polar codes. LDPC codes have been chosen as the candidate codes for data channels because of their high parallelism encoding and decoding, which can realize higher throughput encoders and decoders, whereas polar codes have been selected for control channels as control signals are transmitted at a lower rate and these codes offer good performance in the low block error rate regime.","2473-7577","979-8-3503-4821-7","10.1109/ICCCI56745.2023.10128523","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10128523","5G;Channel codes;LDPC codes;Block error rate;Parity check matrix","Wireless communication;Enhanced mobile broadband;Massive machine type communications;Ultra reliable low latency communication;Throughput;Parity check codes;Decoding","","2","","14","IEEE","24 May 2023","23-25 Jan. 2023","23-25 Jan. 2023","IEEE","IEEE Conferences"
"Probabilistic Shaping for Asymmetric Channels and Low-Density Parity-Check Codes","T. Wiegart; L. Wang; D. Lentner; R. D. Wesel","Institute for Communications Engineering, Technical University of Munich, Germany; Communications Systems Laboratory, University of California Los Angeles, USA; Institute for Communications Engineering, Technical University of Munich, Germany; Communications Systems Laboratory, University of California Los Angeles, USA",2023 12th International Symposium on Topics in Coding (ISTC),"10 Oct 2023","2023","","","1","5","An algorithm is proposed to encode low-density parity-check (LDPC) codes into codewords with a non-uniform distribution. This enables power-efficient signalling for asymmetric channels. We show gains of 0.9 dB for additive white Gaussian noise (AWGN) channels with on-off keying modulation using 5G LDPC codes.","","979-8-3503-2611-6","10.1109/ISTC57237.2023.10273531","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10273531","LDPC codes;probabilistic shaping;forward-error correction;asymmetric signalling.","AWGN channels;Systematics;5G mobile communication;Modulation;Probabilistic logic;Parity check codes;Generators","","4","","21","IEEE","10 Oct 2023","4-8 Sept. 2023","4-8 Sept. 2023","IEEE","IEEE Conferences"
"Energy-Efficient Decoding of Spatially Coupled Low-Density Parity-Check Codes using Adaptive Window Sizes","O. Griebel; M. Herrmann; B. Hammoud; N. Wehn","RPTU Kaiserslautern-Landau, Kaiserslautern, Germany; RPTU Kaiserslautern-Landau, Kaiserslautern, Germany; RPTU Kaiserslautern-Landau, Kaiserslautern, Germany; RPTU Kaiserslautern-Landau, Kaiserslautern, Germany",2023 12th International Symposium on Topics in Coding (ISTC),"10 Oct 2023","2023","","","1","5","Wireless communication systems require high error correction capability, increasing data rates, lower round-trip latency, and efficient silicon implementation. Low-density parity-check (LDPC) codes have gained popularity as a class of forward error correction codes due to their ability to approach channel capacity for large block sizes. However, high-throughput decoding implementation is limited to small block sizes and few iterations. Spatially coupled LDPC (SC-LDPC) codes can outperform standard LDPC codes from an error correction perspective and exhibit locality in the Tanner graph by coupling small LDPC block codes (LDPC-BCs). This enables a sliding window decoding (SWD) decoding and, thus, overcomes the limitation of small block sizes. In this paper, we present a new SWD decoding algorithm and its decoder implementation in a 22 nm technology. The new decoder is based on an adaptive window size yielding power savings up to a factor of 4 in the high SNR range compared to the state-of-the-art.","","979-8-3503-2611-6","10.1109/ISTC57237.2023.10273561","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10273561","Forward error correction;Low-Density Parity check codes;Iterative decoding","Wireless communication;Schedules;Forward error correction;Energy efficiency;Silicon;Decoding;Error correction codes","","6","","19","IEEE","10 Oct 2023","4-8 Sept. 2023","4-8 Sept. 2023","IEEE","IEEE Conferences"
"Invited Talk #1: Joint source-channel coding systems based on double-protograph low-density parity-check codes","C. M. Francis Lau",The Hong Kong Polytechnic University,2023 International Conference on Advanced Technologies for Communications (ATC),"20 Nov 2023","2023","","","xxvi","xxvi","Designing source code and channel code separately is optimal when the code length is very long. For application scenarios requiring short to moderate code lengths, designing source code and channel code jointly can provide a higher coding gain. The main idea of jointly designing source-channel code (JSCC) is to exploit the residual redundancy of the source in the tandem joint source-channel encoding/decoding algorithms so as to achieve coding gains. Low-density parity-check (LDPC) codes have been widely used in many communication systems because of their capacity-approaching error correction capability. Recently, protography-based LDPC codes have been applied to designing JSCC systems. In this talk, we will present the architecture of such JSCC systems, including the encoding and decoding mechanisms. We will also introduce the mathematical techniques for analyzing the thresholds of such systems. Finally, we will show some hardware implementation results and some future research directions.","2162-1039","979-8-3503-0132-8","10.1109/ATC58710.2023.10318894","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10318894","","Codes;Communication systems;Source coding;Redundancy;Parity check codes;Hardware;Error correction codes","","","","0","IEEE","20 Nov 2023","19-21 Oct. 2023","19-21 Oct. 2023","IEEE","IEEE Conferences"
"A Stepped Low Density Parity Check Codes Punching Algorithm Based on Multiple Check Matrices","R. Xie; Q. Zhang; X. Xin; F. Wang; F. Tian; Q. Tian; Y. Wang; L. Yang; J. Jiang","School of Electronic Engineering, Beijing University of Posts and Telecommunications (BUPT), Beijing, China; Beijing Key Laboratory of Space-Ground Interconnection and Convergence, Beijing University of Posts and Telecommunications (BUPT), Beijing, China; The Advanced Research Institute of Multidisciplinary Science, Beijing Institute of Technology, Beijing, China; Beijing Key Laboratory of Space-Ground Interconnection and Convergence, Beijing University of Posts and Telecommunications (BUPT), Beijing, China; Beijing Key Laboratory of Space-Ground Interconnection and Convergence, Beijing University of Posts and Telecommunications (BUPT), Beijing, China; Beijing Key Laboratory of Space-Ground Interconnection and Convergence, Beijing University of Posts and Telecommunications (BUPT), Beijing, China; Beijing Key Laboratory of Space-Ground Interconnection and Convergence, Beijing University of Posts and Telecommunications (BUPT), Beijing, China; Beijing Key Laboratory of Space-Ground Interconnection and Convergence, Beijing University of Posts and Telecommunications (BUPT), Beijing, China; School of Electronic Engineering, Beijing University of Posts and Telecommunications (BUPT), Beijing, China",2023 Asia Communications and Photonics Conference/2023 International Photonics and Optoelectronics Meetings (ACP/POEM),"1 Jan 2024","2023","","","1","4","A stepped low density parity check (LDPC) codes punching algorithm based on multiple check matrices is proposed. The proposed scheme is more flexible to realize the adaptive rate under Gaussian white channel. In a 100Gbit/s optical communication simulation system, the proposed algorithm has about 0.49dB gain after 1000km of transmission, compared to the general punching algorithm.","","979-8-3503-1261-4","10.1109/ACP/POEM59049.2023.10369524","National Natural Science Foundation of China (NSFC)(grant numbers:61835002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10369524","low density parity check codes;punching;optical fiber channel","Punching;Simulation;Asia;Parity check codes;Optical fiber communication;Optical fiber theory;Photonics","","","","7","IEEE","1 Jan 2024","4-7 Nov. 2023","4-7 Nov. 2023","IEEE","IEEE Conferences"
"Construction of partially-doped generalized LDPC codes over regular LDPC codes","J. Kim; J. -W. Kim; J. -S. No","Electronics and Telecommunications Research Institute (ETRI), Daejon, Korea; Department of Electronic Engineering, Engineering Research Institute (ERI), Gyeongsang National University, Jinju, South Korea; Department of Electrical and Computer Engineering, INMC, Seoul National University, Seoul, Korea",2023 28th Asia Pacific Conference on Communications (APCC),"14 Mar 2024","2023","","","416","418","In this paper, we propose a new code design technique for GLDPC codes which we call partial doping. The proposed partial doping technique enables higher degrees of freedom in constructing protograph-based GLDPC codes. We optimize the partially-doped generalized LDPC codes over the binary erasure channels and the finite length analysis shows that it outperforms the regular LDPC codes for both code rates 1/2 and 1/4.","2163-0771","979-8-3503-8261-7","10.1109/APCC60132.2023.10460731","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10460731","Binary erasure channel (BEC);Low-density parity-check (LDPC) codes;generalized LDPC (GLDPC) codes;doping;protograph LDPC codes;typical minimum distance;regular LDPC codes","Gaussian noise;Asia;Doping;Parity check codes;Optimization","","","","11","IEEE","14 Mar 2024","19-22 Nov. 2023","19-22 Nov. 2023","IEEE","IEEE Conferences"
"Density Evolution Analysis for 5G NR Quasi-Cyclic Low Density Parity Check (QC-LDPC) Codes","Wahidin; K. Anwar; N. M. Adriansyah","The Center of Excellence AICOMS, Telkom University, Bandung, Indonesia; The Center of Excellence AICOMS, Telkom University, Bandung, Indonesia; The Center of Excellence AICOMS, Telkom University, Bandung, Indonesia","2023 International Conference on Artificial Intelligence, Blockchain, Cloud Computing, and Data Analytics (ICoABCD)","16 Jan 2024","2023","","","129","133","In this paper, we analyze the performances of the fifth telecommunication generation (5G) new radio (NR) quasi-cyclic (QC) low-density parity check (QC-LDPC) codes via density evolution (DE) for base graph 2 (BG2) over binary erasure channel (BEC). We derive the degree distribution of variable nodes (VND) and check nodes (CND) from the parity check matrix (PCM) of the 3rd Generation Partnership Project (3GPP) TS.38.212 and use them for DE analysis assuming of no cycle or girth. With several number of iterations, we found that 5G NR QC-LDPC of BG2 mother codes have a threshold of $\in$=0.2809. The DE analysis shows that the rateless capability with the extended parity successfully correct the error for higher $\in$, without suffering from the error-floor (although many degree-Is exist), but slightly loose in gap from the Shannon limit. We expect that these results are useful for the future development of QC-LDPC codes for possible improvement in the sixth telecommunication generation (6G).","","979-8-3503-3134-9","10.1109/ICoABCD59879.2023.10390907","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10390907","density evolution;rateless codes;5G NR QC-LDPC codes;degree distribution","Phase change materials;Cloud computing;Data analysis;5G mobile communication;Computer simulation;Parity check codes;Communications technology","","4","","16","IEEE","16 Jan 2024","13-15 Nov. 2023","13-15 Nov. 2023","IEEE","IEEE Conferences"
"Full Diversity Low-Density Parity-Check (LDPC) Codes for Block-Fading Channel","R. Kadel; G. Lechner","School of IT and Engineering (SITE), Melbourne Institute of Technology (MIT), Melbourne, Australia; UniSA STEM, University of South Australia, Adelaide, Australia","2023 International Conference on Electronics, Information, and Communication (ICEIC)","10 Mar 2023","2023","","","1","5","The main goal of this paper is to design full-diversity and outage achieving LDPC codes over block-fading channels under message passing decoding. This paper presents the derivation of the necessary properties of full diversity LDPC codes under message passing decoding over block-fading channel.","2767-7699","979-8-3503-2021-3","10.1109/ICEIC57457.2023.10049965","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10049965","LDPC;full-diversity;block-fading channel","Message passing;Parity check codes;Decoding;Channel models","","","","12","IEEE","10 Mar 2023","5-8 Feb. 2023","5-8 Feb. 2023","IEEE","IEEE Conferences"
"Using Partial Orthomorphisms to Construct Short Quasi-Cyclic LDPC Codes with Girth at Least 6","H. Chimal-Dzul; A. Gómez-Fonseca","Department of Mathematics, University of Notre Dame, Notre Dame, IN, USA; Department of Mathematics, University of Notre Dame, Notre Dame, IN, USA",2023 12th International Symposium on Topics in Coding (ISTC),"10 Oct 2023","2023","","","1","5","Since the publication of Fossorier’s work on the necessary and sufficient conditions for a $(k,\ell)$-regular QC-LDPC code to have a desired girth g, many researchers have been attracted to the problem of determining the smallest lifting degree $N_{\text{min}}$ for which such a code exists. For some values of $ k,\ell$ and g, either an explicit algebraic formula for $N_{\min}$ has been given or its value has been determined by exhaustive computer search. For most cases, however, only lower bounds are known. In this paper, we translate the problem of determining $N_{\min}$ into one about the existence of mutually adjacent partial orthomorphisms of $\mathbb{Z}_{N}$ with certain deficit d, and determine its value for certain parameters. These particular orthomorphisms can also be used to determine, for a fixed $\ell$ and N, the maximum number $k_{\max}$ for which there exists a $(k_{\max},\ell)$-regular QC-LDPC code with girth g.","","979-8-3503-2611-6","10.1109/ISTC57237.2023.10273465","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10273465","Lifting degree;Low-density parity check (LDPC) codes;Quasi-cyclic (QC) LDPC codes;girth;Tanner graph;Partial Orthomorphisms","Sufficient conditions;Parity check codes;Encoding","","1","","29","IEEE","10 Oct 2023","4-8 Sept. 2023","4-8 Sept. 2023","IEEE","IEEE Conferences"
