"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Search for Good Irregular Low-Density Parity-Check Codes Via Graph Spectrum","D. Yin; X. Zhang; X. Shu; G. Yan; G. Wang","School of Mathematics, Shandong University, Jinan, China; School of Mathematics, Shandong University, Jinan, China; School of Mathematics, Shandong University, Jinan, China; Academy of Mathematics and Systems Science, Chinese Academy of Sciences, Beijing, China; School of Mathematics, Shandong University, Jinan, China","2021 IEEE 32nd Annual International Symposium on Personal, Indoor and Mobile Radio Communications (PIMRC)","21 Oct 2021","2021","","","405","410","Research on the expander code shows that for a regular low-density parity-check (LDPC) code, the Tanner graph’s spectrum determines its properties, such as the minimum distance and the size of stopping sets. In this study, we demonstrate theoretically and experimentally that the performance of irregular LDPC codes is related to the graph spectrum. Our observations may provide an efficient metric to search for good irregular LDPC codes.","2166-9589","978-1-7281-7586-7","10.1109/PIMRC50174.2021.9569696","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9569696","low-density parity-check codes;graph spectrum;expander codes","Measurement;Parity check codes;Graph theory;Land mobile radio","","","","25","IEEE","21 Oct 2021","13-16 Sept. 2021","13-16 Sept. 2021","IEEE","IEEE Conferences"
"Construction of Quasi-Cyclic Low-Density Parity-Check Codes based on Quadratic Residue Codes","Y. Li; H. Yan; R. Liu; Z. Luo; H. Wu","College of Computer Science, Chongqing university, Chongqing, China; Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, Michigan, U.S.; College of Computer Science, Chongqing university, Chongqing, China; School of Communication and Information Engineering, Chongqing University of Posts and Telecommunications, Chongqing, China; Department of Electrical and Computer Engineering, McGill University, Montreal, Quebec, Canada",2021 15th International Symposium on Medical Information and Communication Technology (ISMICT),"21 May 2021","2021","","","157","161","Motivated by the success of constructing quasi-cyclic low-density parity-check (QC-LDPC) codes based on Reed-Solomon codes, a construction method for QC-LDPC codes is presented in this paper, using the check matrices of quadratic residues codes. Three QC-LDPC codes are obtained by utilizing two quadratic residues codes of lengths less than 100, and the resultant QC-LDPC codes are regular, high-rate and free of length-4 cycles. Simulation results show that the proposed QC-LDPC codes achieves similar performance as the random LDPC codes, but they have less short cycles. In addition, the proposed (279, 158) QC-LDPC code outperforms its counterpart constructed from Reed-Solomon codes at high signal-to-noise ratios.","2326-8301","978-1-7281-7724-3","10.1109/ISMICT51748.2021.9434943","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9434943","Quasi-cyclic LDPC;quadratic residue code;check matrix;cycle","Reed-Solomon codes;Simulation;Parity check codes;Encoding;Information and communication technology;Complexity theory;Optimization","","3","","14","IEEE","21 May 2021","14-16 April 2021","14-16 April 2021","IEEE","IEEE Conferences"
"Improvement of the Bit Duplication Method for Rate-Compatible Low-Density Parity-Check Codes","S. Le; E. Likhobabin","Department of Multimedia Technologies and Telecommunications, Moscow Institute of Physics and Technology, Dolgoprudniy, Russia; Laboratory of Multimedia Systems and Technology, Moscow Institute of Physics and Technology, Dolgoprudniy, Russia",2021 23rd International Conference on Digital Signal Processing and its Applications (DSPA),"15 Sep 2021","2021","","","1","5","In this paper, we propose a principle for improving the “bit duplication” method for designing rate-compatible low-density parity-check (LDPC) codes. An experiment was carried out in the Matlab to obtain codes of rate-1/4 with different variants for duplicating bits from the original irregular DVB-S2 code of rate-1/2. Experimental results show that different bit duplication variants give different performance, moreover, codes using duplication of that part of the code word, where, respectively, the columns of the check matrix have the majority of the nonzero elements, turn out to be the best.","","978-1-7281-9551-3","10.1109/DSPA51283.2021.9535844","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9535844","LDPC code;rate-compatibility;Single bit duplication;Double bit duplication;Triple bit duplication","Digital signal processing;Parity check codes;Matlab","","","","12","IEEE","15 Sep 2021","24-26 March 2021","24-26 March 2021","IEEE","IEEE Conferences"
"An Efficient CRC-Aided Parity-Check Concatenated Polar Coding","W. Li; Z. He","Information and communication engineering institute Harbin Engineering University,Harbin,China; Information and communication engineering institute Harbin Engineering University,Harbin,China",2021 IEEE Asia Conference on Information Engineering (ACIE),"24 Mar 2021","2021","","","1","5","Parity check (PC) and cyclic redundancy check (CRC) concatenated polar codes can achieve better decoding performance compared with PC polar codes or CRC polar codes, but high check complexity and decoding delay greatly affect its performance. Based on the existing concatenated polar codes, this paper proposed a new scheme of CRC aided double PC concatenated polar codes and designed new encoding and decoding rules. The new scheme can prune in time and save correct paths to the greatest extent, so it can improve the block error rate performance without increasing the complexity significantly. Simulation results show that the proposed shame is better than other concatenated polar codes.","","978-1-6654-2250-5","10.1109/ACIE51979.2021.9381073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381073","parity-check polar codes;CA-SCL;CRC-aided double parity-check polar codes","Simulation;Modulation;Encoding;Parity check codes;Decoding;Complexity theory;Polar codes","","3","","18","IEEE","24 Mar 2021","29-31 Jan. 2021","29-31 Jan. 2021","IEEE","IEEE Conferences"
"Performance of 5G New Radio Low-Density Parity-Check Codes in Nakagami-m fading Channel","V. Vasi&#x0107;","The Department of Telecommunications, School of Electrical Engineering, University of Belgrade, Belgrade, Serbia",2021 29th Telecommunications Forum (TELFOR),"29 Dec 2021","2021","","","1","4","Various scenarios in which the fifth generation of communications systems will be used lead to high demands of the standard that are successfully fulfilled by Low-Density Parity-Check (LDPC) codes, which are used for coding. In this paper, analysis of the performance of Offset Min-sum algorithm as the decoding method is made. Comparison of hard and soft decision decoding is presented, while the influence of different effects on the radio channel is analyzed by Nakagami-m fading.","","978-1-6654-2585-8","10.1109/TELFOR52709.2021.9653235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9653235","5G standard;channel coding;LDPC codes;hard decision;soft decision;Nakagami-m fading","Fading channels;Analytical models;New Radio;Parity check codes;Encoding;Decoding;Telecommunications","","","","10","IEEE","29 Dec 2021","23-24 Nov. 2021","23-24 Nov. 2021","IEEE","IEEE Conferences"
"A Construction Method of Doped Low-Density Parity-Check Codes Based on Quadratic Residue Codes","Y. Li; X. Huang; C. Zhou; Z. Luo; H. Wu","College of Computer Science, Chongqing University, Chongqing, China; School of Communication and Information Engineering, Chongqing University of Posts and Telecommunication, Chongqing, China; School of Communication and Information Engineering, Chongqing University of Posts and Telecommunication, Chongqing, China; School of Communication and Information Engineering, Chongqing University of Posts and Telecommunication, Chongqing, China; Department of Electrical and Computer Engineering, McGill University, Montreal, Canada",2021 15th International Symposium on Medical Information and Communication Technology (ISMICT),"21 May 2021","2021","","","221","226","In this paper, we propose an approach to constructing a class of doped low-density parity-check (LDPC) codes, by utilizing some coded bits of an LDPC code as the information bits of a quadratic residues (QR) code and then integrating the corresponding two Tanner graphs as a whole. Herein, the trapping set information of the LDPC code is used for selecting the information bits of the QR code. Simulation results show that the proposed doped LDPC codes achieve more than 1.4 dB and 1.0 dB gains with slight rate losses, respectively, at a frame error rate of 10−5, when compared to two regular LDPC codes.","2326-8301","978-1-7281-7724-3","10.1109/ISMICT51748.2021.9434940","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9434940","LDPC codes;quadratic residue codes;trapping sets","Error analysis;Simulation;Design methodology;Parity check codes;Information and communication technology;Complexity theory;Block codes","","1","","18","IEEE","21 May 2021","14-16 April 2021","14-16 April 2021","IEEE","IEEE Conferences"
"Applicability of single- and two-hidden-layer neural networks in decoding linear block codes","S. Brkic; P. Ivanis; B. Vasic","School of Electrical Engineering, University of Belgrade, Belgrade, Serbia; School of Electrical Engineering, University of Belgrade, Belgrade, Serbia; Dept. of Electrical and Computer Eng., University of Arizona, Tucson, Arizona",2021 29th Telecommunications Forum (TELFOR),"29 Dec 2021","2021","","","1","4","In this paper, we analyze applicability of single- and two-hidden-layer feed-forward artificial neural networks, SLFNs and TLFNs, respectively, in decoding linear block codes. Based on the provable capability of SLFNs and TLFNs to approximate discrete functions, we discuss sizes of the network capable to perform maximum likelihood decoding. Furthermore, we propose a decoding scheme, which use artificial neural networks (ANNs) to lower the error-floors of low-density parity-check (LDPC) codes. By learning a small number of error patterns, uncorrectable with typical decoders of LDPC codes, ANN can lower the error-floor by an order of magnitude, with only marginal average complexity incense.","","978-1-6654-2585-8","10.1109/TELFOR52709.2021.9653357","Science Fund of the Republic of Serbia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9653357","error-floors;neural networks;linear block codes;low-density parity-check codes;ML decoding","Deep learning;Artificial neural networks;Parity check codes;Complexity theory;Telecommunications;Block codes;Maximum likelihood decoding","","1","","14","IEEE","29 Dec 2021","23-24 Nov. 2021","23-24 Nov. 2021","IEEE","IEEE Conferences"
"Chained LDPC Codes via Partial Information Coupling and Partial Parity Superposition","Q. Wang; L. Chen; X. Ma","School of Electronics and Communication Engineering, Sun Yat-sen University, Guangzhou, China; School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, China; School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, China",2021 IEEE Globecom Workshops (GC Wkshps),"24 Jan 2022","2021","","","1","6","This paper presents a new class of chained low-density parity-check (LDPC) codes for the transport block (TB) based transmission protocol, in which a TB consists of multiple code blocks (CBs). The proposed chained LDPC codes are constructed by coupling together all CBs of a TB into a single chain, where partial information bits between every two adjacent LDPC CBs are shared using the partial information coupling (PIC) technique and partial parity bits are superimposed onto the following LDPC CB using the partial superposition (PS) technique, resulting in a PIC-PS-LDPC code. The proposed construction is universal in the sense that it is applicable to any existing LDPC codes including the random LDPC codes and the structured LDPC codes to obtain extra coding gains. More importantly, the proposed PIC-PS-LDPC codes can have encoder/decoder implemented using the structure of the underlying LDPC codes. Numerical results show that the PS technique can further improve the PIC-LDPC codes, and the PIC technique can further improve the PS-LDPC codes. They also show that the proposed PIC-PS-LDPC codes with the 5G New Radio (5G-NR) LDPC codes as the mother codes can yield a coding gain of up to 0.6 dB over the conventional 5G-NR LDPC codes.","","978-1-6654-2390-8","10.1109/GCWkshps52748.2021.9682151","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9682151","5G New Radio (5G-NR);block Markov superposition transmission (BMST);low-density parity-check (LD-PC) codes;partial superposition (PS);partial information coupling (PIC)","Couplings;Protocols;Simulation;Markov processes;New Radio;Parity check codes;Encoding","","2","","17","IEEE","24 Jan 2022","7-11 Dec. 2021","7-11 Dec. 2021","IEEE","IEEE Conferences"
"Research on LDPC channel coding technology in satellite communication system","S. Nie; G. Li; X. Liu; X. Zhang; C. Lin; Y. He","Xi'an Institute of Space Radio Technology, Xi'an, China; Xi'an Institute of Space Radio Technology, Xi'an, China; Xi'an Institute of Space Radio Technology, Xi'an, China; Xi'an Institute of Space Radio Technology, Xi'an, China; Xi'an Institute of Space Radio Technology, Xi'an, China; Xi'an Institute of Space Radio Technology, Xi'an, China",2021 IEEE/ACIS 20th International Fall Conference on Computer and Information Science (ICIS Fall),"6 Dec 2021","2021","","","295","298","This paper discusses in detail the development of several research hotspots of Low-Density Parity Check (LDPC) codes and their joint optimization design with other communication technologies, and points out that LDPC codes have broad development and application space in the future communication field.","","978-1-7281-7679-6","10.1109/ICISFall51598.2021.9627463","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9627463","low-density parity check codes;construction of check matrix;minimum sum algorithm;OFDM;HARQ","Information science;Mobile communication;Parity check codes;Optical fiber communication;Decoding;Reliability;Channel coding","","3","","30","IEEE","6 Dec 2021","13-15 Oct. 2021","13-15 Oct. 2021","IEEE","IEEE Conferences"
"About Some Irregular Degree Distributions of LDPC Codes in Two-State Channels","A. A. Ovchinnikov; A. A. Fominykh","Saint-Petersburg State University of Aerospace Instrumentation, Saint Petersburg, Russia; Saint-Petersburg State University of Aerospace Instrumentation, Saint Petersburg, Russia",2021 Wave Electronics and its Application in Information and Telecommunication Systems (WECONF),"7 Jul 2021","2021","","","1","4","The paper examines the decoding of low-density parity-check codes in channels with memory. Exact degree distributions optimized for a set of parameters of Gilbert and Gilbert-Elliott channels are given. The decoding performance of low-density parity-check codes constructed using obtained degree distributions are presented under belief propagation decoding over Gilbert-Elliott channel.","","978-1-7281-7730-4","10.1109/WECONF51603.2021.9470627","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9470627","low-density parity-check codes;Gilbert-Elliott channel;degree distribution;density evolution;estimation decoding","Space vehicles;Error probability;Computer architecture;Aerospace electronics;Parity check codes;Decoding;Telecommunications","","","","16","IEEE","7 Jul 2021","31 May-4 June 2021","31 May-4 June 2021","IEEE","IEEE Conferences"
