ID,Type,Title,Authors,Abstract,Categories,Published,DOI,PDF URL,Status
ieee:11354137,book,Revisiting the Classical to Quantum Coding Evolution,"Zunaira Babar, Daryus Chandra, Soon Xin Ng, Lajos Hanzo","The classical&#x2010;to&#x2010;quantum coding evolution is characterized by formalizing the isomorphism between classical linear block codes and quantum stabilizer codes. We commence with a review of classical block code constructions and decoding principles, including repetition codes and parity&#x2010;check matrices. The chapter introduces the stabilizer formalism and demonstrates how classic...",,,10.1002/9781394331963.ch10,https://ieeexplore.ieee.org/document/11354137,new
ieee:11547222,early access article,Optimized Algorithms for FPGA-Based Acceleration of 5G-NR PDSCH Transmit Chain,"Samudrala Soujanya, Harsha Rudramuniyappa, Prem Singh, Ekant Sharma",This paper presents optimized algorithms and hardware architecture for field-programmable gate array (FPGA)-based acceleration of the fifth-generation (5G) new radio (NR) physical downlink shared channel (PDSCH). The paper proposes a modular multi-intellectual property (IP) architecture that supports variable data widths across different processing blocks to efficiently accommodate the wide dynami...,,,10.1109/TCSI.2026.3693075,https://ieeexplore.ieee.org/document/11547222,new
ieee:11354104,book,Universal Decoding of Quantum Stabilizer Codes via Classical Guesswork,"Zunaira Babar, Daryus Chandra, Soon Xin Ng, Lajos Hanzo","In this chapter, a so&#x2010;called universal decoding framework is proposed for quantum stabilizer codes. It is termed as universal because it is directly suitable for the decoding of arbitrary linear codes, including polar codes, BCH codes, etc. It relies on appropriately adapting the classical guessing random additive noise decoding (GRAND) philosophy for the quantum domain. As a further ben...",,,10.1002/9781394331963.ch09,https://ieeexplore.ieee.org/document/11354104,new
ieee:11354106,book,Quantum Low&#x2010;density Parity Check Codes,"Zunaira Babar, Daryus Chandra, Soon Xin Ng, Lajos Hanzo","The design of quantum low&#x2010;density parity check (QLDPC) codes is discussed, with a special emphasis on their structural properties and iterative decoding techniques. We review diverse QLDPC code construction methods, including Calderbank&#x2013;Shor&#x2013;Steane (CSS), non&#x2010;CSS, and entanglement&#x2010;assisted variants. The chapter highlights the associated key design challenges, ...",,,10.1002/9781394331963.ch14,https://ieeexplore.ieee.org/document/11354106,new
ieee:11354103,book,EXIT&#x2010;chart&#x2010;aided Design of Irregular Multiple&#x2010;rate Quantum Turbo Block Codes,"Zunaira Babar, Daryus Chandra, Soon Xin Ng, Lajos Hanzo","Extrinsic information transfer (EXIT) chart&#x2010;aided irregular multiple&#x2010;rate quantum turbo short&#x2010;block codes (MR&#x2010;QSBC&#x2010;QURCs) are designed that operate near the quantum hashing bound. A single&#x2010;encoder framework is developed for multiple&#x2010;rate quantum short&#x2010;block codes (QSBCs), enabling the support of a wide range of coding rates. By concatenati...",,,10.1002/9781394331963.ch13,https://ieeexplore.ieee.org/document/11354103,new
ieee:11359712,early access article,Read Performance Optimization Strategies for Temporary Read Error in High Density 3D NAND Flash Memory,"Longbin Chen, Ruibin Zhou, Jian Huang, Yuhan Wang, Xianping Liu, Xinrui Zhang, Zhiyi Yu","Temporary read error (TRE) is a transient reliability issue uniquely observed in 3D NAND flash memory, and its impact has become increasingly significant in high-density multi-level stacked NAND flash devices, such as 3D triple-level cell (TLC), quad-level cell (QLC), and penta-level cell (PLC) technologies. TRE reduces the already limited reliability margin inherent to high-density storage, compl...",,,10.1109/TCAD.2026.3656765,https://ieeexplore.ieee.org/document/11359712,new
ieee:11563653,early access article,Deep Steganographic Communication with Polar Code: Enhancing Robustness in Noisy Channel,"Bingxin Wei, Yifang Shi, Haewoon Nam","The reliability of secret information extraction in deep image steganography degrades severely when stego images are transmitted over open communication channels corrupted by physical noise, such as additive white Gaussian noise (AWGN). To address this challenge, this paper proposes an end-to-end deep steganographic communication framework that integrates polar codes to significantly enhance robus...",,,10.1109/TMM.2026.3703585,https://ieeexplore.ieee.org/document/11563653,new
ieee:7268743,book,Low-Density Parity-Check Codes,"Christian B. Schlegel, Lance C. Perez",Low-density parity-check (LDPC) codes can rightfully take their stand next to turbo codes as the most powerful and most popular error control codes known. They offer a performance spectacularly close to theoretical limits when decoded using iterative soft decision algorithms. This chapter explores the properties and structure of low-density parity-check codes. It begins with the fundamental con...,,,10.1002/9781119106319.ch6,https://ieeexplore.ieee.org/document/7268743,new
ieee:11494957,early access article,Linear Time Iterative Decoders for Hypergraph-Product and Lifted-Product Codes,"Asit Kumar Pradhan, Nithin Raveendran, Narayanan Rengaswamy, Bane Vasić","Quantum low-density parity-check (QLDPC) codes with asymptotically non-zero rates are prominent candidates for achieving fault-tolerant quantum computation, primarily due to the low operational depth of their syndrome-measurement circuits. Numerous studies advocate the necessity of fast decoders to fully harness the capabilities of QLDPC codes, thus driving the focus towards designing low-complexi...",,,10.1109/TIT.2026.3687799,https://ieeexplore.ieee.org/document/11494957,new
ieee:11355867,early access article,SComCP: Task-Oriented Semantic Communication for Collaborative Perception,"Jipeng Gan, Yucheng Sheng, Hua Zhang, Le Liang, Hao Ye, Chongtao Guo, Shi Jin","Reliable detection of surrounding objects is critical for the safe operation of connected automated vehicles (CAVs). However, inherent limitations such as the restricted perception range and occlusion effects compromise the reliability of singlevehicle perception systems in complex traffic environments. Collaborative perception has emerged as a promising approach by fusing sensor data from surroun...",,,10.1109/TVT.2026.3654968,https://ieeexplore.ieee.org/document/11355867,new
