ID,Type,Title,Authors,Abstract,Categories,Published,DOI,PDF URL,Status
ieee:8651338,journal,Constructions of Type-II QC-LDPC Codes With Girth Eight from Sidon Sequence,"Guohua Zhang, Yulin Hu, Yi Fang, Juhua Wang","In this paper, we consider the constructions of type-II quasi-cyclic (QC) low-density parity-check (LDPC) codes with girth eight from a Sidon sequence. We first derive the necessary and sufficient conditions guaranteeing a girth-eight type-II QC-LDPC code. By combining these conditions with the concept of the Sidon sequence, three classes of type-II QC-LDPC codes are subsequently proposed with gir...",,June 2019,10.1109/TCOMM.2019.2901481,https://ieeexplore.ieee.org/document/8651338,new
ieee:8626506,journal,Quasi-Cyclic Protograph-Based Raptor-Like LDPC Codes for Short Block-Lengths,"Sudarsan V. S. Ranganathan, Dariush Divsalar, Richard D. Wesel","Protograph-based Raptor-like low-density parity-check codes (PBRL codes) are a family of easily encodable rate-compatible low-density parity-check (LDPC) codes. PBRL codes have an excellent performance across all design rates. Quasi-cyclic (QC) PBRL code families permit high-speed decoder implementations. PBRL codes designed thus far, for both long and short block-lengths, have been based on optim...",,June 2019,10.1109/TIT.2019.2895322,https://ieeexplore.ieee.org/document/8626506,new
ieee:8693678,magazine,Outage-Limit-Approaching Channel Coding for Future Wireless Communications: Root-Protograph Low-Density Parity-Check Codes,"Yi Fang, Pingping Chen, Guofa Cai, Francis C.M. Lau, Soung Chang Liew, Guojun Han","A block-fading (BF) channel, also known as a slow-fading channel, is a type of simple and practical channel model that can characterize the primary feature of a number of wireless-communication applications with low to moderate mobility. Although BF channels have received significant research attention in the past 20 years, designing low-complexity, outage-limit-approaching error-correction codes ...",,June 2019,10.1109/MVT.2019.2903343,https://ieeexplore.ieee.org/document/8693678,new
ieee:8662618,journal,Optimized Rate-Adaptive Protograph-Based LDPC Codes for Source Coding With Side Information,"Fangping Ye, Elsa Dupraz, Zeina Mheich, Karine Amis","This paper considers the problem of source coding with side information at the decoder, also called Slepian-Wolf source coding scheme. In practical applications of this coding scheme, the statistical relation between the source and the side information can vary from one data transmission to another, and there is a need to adapt the coding rate depending on the current statistical relation. In this...",,June 2019,10.1109/TCOMM.2019.2903498,https://ieeexplore.ieee.org/document/8662618,new
ieee:8626151,journal,On Computing the Multiplicity of Cycles in Bipartite Graphs Using the Degree Distribution and the Spectrum of the Graph,"Ali Dehghan, Amir H. Banihashemi","Counting short cycles in bipartite graphs is a fundamental problem of interest in the analysis and design of low-density parity-check codes. The vast majority of research in this area is focused on algorithmic techniques. Most recently, Blake and Lin proposed a computational technique to count the number of cycles of length g in a bi-regular bipartite graph, where g is the girth of the graph. The ...",,June 2019,10.1109/TIT.2019.2895356,https://ieeexplore.ieee.org/document/8626151,new
ieee:8692757,journal,Secret Key Generation With Precoding and Role Reversal in MIMO Wireless Systems,"Saygın Bakşi, Dimitrie C. Popescu","Secret key generation based on channel measurements has emerged as a meaningful approach to enhance the security of wireless links. The key generation mechanism takes advantage of wireless channel reciprocity and uses the mutual information between legitimate users&#39; channel measurements. However, the rate at which key bits are generated depends on the channel coherence time. Furthermore, eavesdrop...",,June 2019,10.1109/TWC.2019.2910103,https://ieeexplore.ieee.org/document/8692757,new
ieee:8478307,journal,Stopping Redundancy Hierarchy Beyond the Minimum Distance,"Yauhen Yakimenka, Vitaly Skachek, Irina E. Bocharova, Boris D. Kudryashov","Stopping sets play a crucial role in failure events of iterative decoders over a binary erasure channel (BEC). The ℓth stopping redundancy is the minimum number of rows in the parity-check matrix of a code, which contains no stopping sets of size up to ℓ. In this paper, a notion of coverable stopping sets is defined. In order to achieve maximum-likelihood performance under iterative decoding over ...",,June 2019,10.1109/TIT.2018.2873140,https://ieeexplore.ieee.org/document/8478307,new
ieee:8480650,journal,Performance Analysis of All Modulation and Code Combinations in ATSC 3.0 Physical Layer Protocol,"Sung-Ik Park, Jae-Young Lee, Sunhyoung Kwon, Bo-Mi Lim, Sungjun Ahn, Heung Mook Kim, Sungho Jeon, Jaekwon Lee, Michael Simon, Mark Aitken, Kevin Gage, Yiyan Wu, Liang Zhang, Wei Li, Jeongchang Kim","This paper presents the advanced television systems committee (ATSC) 3.0 physical layer system performances with different modulation and channel coding combinations. Numerous computer simulations, laboratory tests, and field trials are conducted under additive white Gaussian noise, RC20, and RL20 channels. Analysis of the results shows that the measured values in laboratory and field are less tha...",,June 2019,10.1109/TBC.2018.2871372,https://ieeexplore.ieee.org/document/8480650,new
ieee:8705278,journal,5G New Radio for Terrestrial Broadcast: A Forward-Looking Approach for NR-MBMS,"Jordi Joan Gimenez, Jose Luis Carcel, Manuel Fuentes, Eduardo Garro, Simon Elliott, David Vargas, Christian Menzel, David Gomez-Barquero","3GPP LTE eMBMS release (Rel-) 14, also referred to as further evolved multimedia broadcast multicast service (FeMBMS) or enhanced TV (EnTV), is the first mobile broadband technology standard to incorporate a transmission mode designed to deliver terrestrial broadcast services from conventional high power high tower (HPHT) broadcast infrastructure. With respect to the physical layer, the main impro...",,June 2019,10.1109/TBC.2019.2912117,https://ieeexplore.ieee.org/document/8705278,new
ieee:8651330,journal,Tight Analytical and Asymptotic Upper Bound for the BER and FER of Linear Codes Over Exponentially Correlated Generalized-Fading Channels,"Yassine Mouchtak, Faissal El Bouanani, Daniel Benevides da Costa","In this paper, the upper bound and asymptotical approximation for the bit error rate (BER) as well as for the frame error rate of linear block codes under maximum-likelihood decoding operating over exponentially correlated (EC) generalized-fading channels are proposed. Particularly, our analysis takes the convolutional codes as an example and three different fading scenarios are considered, namely...",,June 2019,10.1109/TCOMM.2019.2901461,https://ieeexplore.ieee.org/document/8651330,new
