ID,Type,Title,Authors,Abstract,Categories,Published,DOI,PDF URL,Status
ieee:7224705,magazine,A decode-and-forward scheme for LDPC coded three-way relay fading channels,"Xia Ye, Feifei Gao","In this paper a low-density pairwise check (LDPC) coded three-way relay system is considered, where three user nodes desire to exchange messages with the help of one relay node. Since physical-layer network coding is applied, two time slots are sufficient for one round information exchange. In this paper, we present a decode-and-forward (DF) scheme based on joint LDPC decoding for three-way relay ...",,August 201,10.1109/CC.2015.7224705,https://ieeexplore.ieee.org/document/7224705,new
ieee:7224707,magazine,A feedback scheme for fountain codes based transport protocol in space communications,"Yanling Xing, Ning Ge","This paper proposed a practicalfeedback scheme for fountain codes based transportprotocol in space communications. In the proposed scheme, the sender is signaled by two types of acknowledgment (ACK) packets.Before decoding, packet loss probability isestimated on the receiver side and encapsulated intoa soft ACKand sent to the sender.After decoding,decoding results are encapsulated into hard ACKsan...",,August 201,10.1109/CC.2015.7224707,https://ieeexplore.ieee.org/document/7224707,new
ieee:7122232,journal,Improving the Belief-Propagation Convergence of Irregular LDPC Codes Using Column-Weight Based Scheduling,"Chaudhry Adnan Aslam, Yong Liang Guan, Kui Cai","In this letter, a novel scheduling scheme for decoding irregular low-density parity-check (LDPC) code, based on the column weight of variable nodes in the code graph, is introduced. In this scheme, the irregular LDPC code is decoded using the shuffled belief-propagation (BP) algorithm by selecting the variable nodes in descending order of their column weight. Via numerical simulation, it is shown ...",,Aug. 2015,10.1109/LCOMM.2015.2444381,https://ieeexplore.ieee.org/document/7122232,new
ieee:7265216,journal,Rate-compatible LDPC codes based on the PEG algorithm for relay communication systems,"Yangzhao Zhou, Xueqin Jiang, Moon Ho Lee","It is known that the progressive edge-growth (PEG) algorithm can be used to construct low-density parity-check (LDPC) codes at finite code lengths with large girths through the establishment of edges between variable and check nodes in an edge-by-edge manner. In [1], the authors derived a class of LDPC codes for relay communication systems by extending the full-diversity root-LDPC code. However, t...",,Aug. 2015,10.1109/JCN.2015.000065,https://ieeexplore.ieee.org/document/7265216,new
ieee:7108020,journal,Approximate Algorithms for Identifying Minima on Min-Sum LDPC Decoders and Their Hardware Implementation,"Ioannis Tsatsaragkos, Vassilis Paliouras",This brief introduces algorithms and corresponding circuits that identify minimum values among a set of incoming messages. The problem of finding two minima in a set of messages is approximated by the different problem of finding the minimum of all messages in the set and the second minimum among a subset of the messages. This approximation is here shown to be suitable for hardware low-density par...,,Aug. 2015,10.1109/TCSII.2015.2433451,https://ieeexplore.ieee.org/document/7108020,new
ieee:7114293,journal,On Coset Leader Graphs of LDPC Codes,"Eran Iceland, Alex Samorodnitsky","Our main technical result is that, in the coset leader graph of a linear binary code of block length  $n$ , the metric balls spanned by constant-weight vectors grow exponentially slower than those in  $ \{0,1\}^{n}$ . Following the approach of Friedman and Tillich, we use this fact to improve on the first linear programming bound on the rate of low-density parity check (LDPC) codes, as the functio...",,Aug. 2015,10.1109/TIT.2015.2438716,https://ieeexplore.ieee.org/document/7114293,new
ieee:7265217,journal,New decoding scheme for LDPC codes based on simple product code structure,"Beomkyu Shin, Seokbeom Hong, Hosung Park, Jong-Seon No, Dong-Joon Shin","In this paper, a new decoding scheme is proposed to improve the error correcting performance of low-density parity-check (LDPC) codes in high signal-to-noise ratio (SNR) region by using post-processing. It behaves as follows: First, a conventional LDPC decoding is applied to received LDPC codewords one by one. Then, we count the number of word errors in a predetermined number of decoded codewords....",,Aug. 2015,10.1109/JCN.2015.000066,https://ieeexplore.ieee.org/document/7265217,new
ieee:7265214,journal,Challenges and some new directions in channel coding,"Erdal Ankan, Najeeb ul Hassan, Michael Lentmaier, Guido Montorsi, Jossy Sayir","Three areas of ongoing research in channel coding are surveyed, and recent developments are presented in each area: Spatially coupled low-density parity-check (LDPC) codes, non-binary LDPC codes, and polar coding.",,Aug. 2015,10.1109/JCN.2015.000063,https://ieeexplore.ieee.org/document/7265214,new
ieee:7265215,journal,Iterative reliability-based modified majority-logic decoding for structured binary LDPC codes,"Haiqiang Chen, Lingshan Luo, Youming Sun, Xiangcheng Li, Haibin Wan, Liping Luo, Tuanfa Qin","In this paper, we present an iterative reliability-based modified majority-logic decoding algorithm for two classes of structured low-density parity-check codes. Different from the conventional modified one-step majority-logic decoding algorithms, we design a turbo-like iterative strategy to recover the performance degradation caused by the simply flipping operation. The main computational loads o...",,Aug. 2015,10.1109/JCN.2015.000064,https://ieeexplore.ieee.org/document/7265215,new
ieee:7120101,journal,On Fault Tolerance of the Gallager B Decoder Under Data-Dependent Gate Failures,"Srdan Brkic, Omran Al Rasheed, Predrag Ivaniš, Bane Vasić","In this letter, we characterize the effect of data-dependent gate failures on the performance of the Gallager B decoder of low-density parity-check codes. We show that this type of failures makes the decoder dependent on a transmitted codeword, thus rendering inapplicable the traditional analysis tools such as density evolution and trapping sets. By using Monte Carlo simulations, we identify two o...",,Aug. 2015,10.1109/LCOMM.2015.2442981,https://ieeexplore.ieee.org/document/7120101,new
