ID,Type,Title,Authors,Abstract,Categories,Published,DOI,PDF URL,Status
ieee:4357432,journal,Lowering the Error Floor of Optimized Short-Block-Length LDPC-Coded OFDM via Spreading,"Ali Serener, Balasubramaniam Natarajan, Don M. Gruenbacher","In this paper, short-block-length low-density parity-check (LDPC) codes are optimized and introduced, along with Walsh-Hadamard spreading, to orthogonal frequency-division multiplexing (OFDM) systems. Prior research has shown that lowering the threshold associated with LDPC codes results in higher error floors. The error floor becomes more pronounced for short-block-length LDPC codes that have bee...",,May 2008,10.1109/TVT.2007.907280,https://ieeexplore.ieee.org/document/4357432,new
ieee:4479869,journal,Optimal Overlapped Message Passing Decoding of Quasi-Cyclic LDPC Codes,"Yongmei Dai, Zhiyuan Yan, Ning Chen","Efficient hardware implementation of low-density parity-check (LDPC) codes is of great interest since LDPC codes are being considered for a wide range of applications. Recently, overlapped message passing (OMP) decoding has been proposed to improve the throughput and hardware utilization efficiency (HUE) of decoder architectures for LDPC codes. In this paper, we first study the scheduling for the ...",,May 2008,10.1109/TVLSI.2008.917540,https://ieeexplore.ieee.org/document/4479869,new
ieee:4524251,journal,Generalized Combining Method for Design of Quasi-Cyclic LDPC Codes,"Yuanhua Liu, Xinmei Wang, Ruwei Chen, Yucheng He",A generalization of the Chinese Remainder Theorem (CRT) combining method is proposed to design much more and better quasi-cyclic (QC) LDPC codes when the parity check matrices of the component codes are given. It can design a much larger class of QC-LDPC codes with similar performance by loosening the condition for determining the intermediate parameters. By permuting the block rows of the parity ...,,May 2008,10.1109/LCOMM.2008.080132,https://ieeexplore.ieee.org/document/4524251,new
ieee:4524250,journal,Quantum LDPC Codes from Balanced Incomplete Block Designs,Ivan B. Djordjevic,We present a series of structured LDPC codes suitable for use in quantum error correction. Those codes belong to the class of dual-containing Calderbank-Shor-Steane (CSS) codes. The component CSS code is designed using the combinatorial object known as balanced incomplete block design (BIBD) with an even index. The quantum LDPC codes have the rate around 0.9. Several examples of quantum LDPC codes...,,May 2008,10.1109/LCOMM.2008.080083,https://ieeexplore.ieee.org/document/4524250,new
ieee:4494710,journal,On Multiterminal Source Code Design,"Yang Yang, Vladimir Stankovic, Zixiang Xiong, Wei Zhao","Multiterminal (MT) source coding refers to separate lossy encoding and joint decoding of multiple correlated sources. Recently, the rate region of both direct and indirect MT source coding in the quadratic Gaussian setup with two encoders was determined. We are thus motivated to design practical MT source codes that can potentially achieve the entire rate region. In this paper, we present two prac...",,May 2008,10.1109/TIT.2008.920204,https://ieeexplore.ieee.org/document/4494710,new
ieee:4472191,journal,Coding Schemes for User Cooperation in Low-Power Regimes,"Guosen Yue, Xiaodong Wang, Zigui Yang, Anders Host-Madsen","We consider the design of cooperation coding schemes for a two-user multiaccess channel (MAC). In particular, we consider two block Markov coding schemes, namely, the multiplexed coding and the superposition coding. Although the fully multiplexed (FMP) coding outperforms the superposition coding in theory, it is difficult to implement with practical error-correction codes. We, therefore, introduce...",,May 2008,10.1109/TSP.2007.909266,https://ieeexplore.ieee.org/document/4472191,new
ieee:4524248,journal,Efficient Difference-based Decoding Implementations of LDPC Codes,"Wu Zhanji, Peng Mugen, Wang Wenbo, Li Luying","Efficient implementations of the sum-product algorithm (SPA) for decoding low-density parity-check (LDPC) codes using difference-based messages between bit nodes and check nodes are presented. As for the updates of check nodes, reduced- complexity derivatives are also put forward. As compared with the traditional Log-Likelihood-Ratio(LLR)-based decoding implementations, the proposed method has muc...",,May 2008,10.1109/LCOMM.2008.072069,https://ieeexplore.ieee.org/document/4524248,new
ieee:4560109,journal,A 1-Gb/s flexible LDPC decoder supporting multiple code rates and block lengths,"Jong-Yeol Lee, Hye-Jin Ryu","This paper propose a new flexible low-density parity-check (LDPC) decoding architecture that can be dynamically reconfigured according to a parity-check matrix which changes as code rate or block length varies. Since the LDPC codes are adopted in standards such as DVB-S2, IEEE 802.1 In and IEEE 802.16e and each standard allows various code rates and block lengths, an LDPC decoder architecture that...",,May 2008,10.1109/TCE.2008.4560109,https://ieeexplore.ieee.org/document/4560109,new
ieee:4524303,journal,Serial concatenation of simple linear block codes and differential modulations,"Jeebak Mitra, Lutz Lampe","In this paper, binary linear block codes with very low encoding and decoding complexity (therefore, &#34;simple&#34; codes) are introduced as outer codes in a serially concatenated coding scheme employing multilevel differential phase-shift keying, i.e., differential modulations, as inner codes. Such a concatenated coding scheme is particularly suitable for power- and bandwidth-efficient transmission over...",,May 2008,10.1109/TWC.2008.060958,https://ieeexplore.ieee.org/document/4524303,new
ieee:4494696,journal,Universal Algorithms for Channel Decoding of Uncompressed Sources,"Erik Ordentlich, Gadiel Seroussi, Sergio Verdu, Krishnamurthy Viswanathan","In many applications, an uncompressed source stream is systematically encoded by a channel code (which ignores the source redundancy) for transmission over a discrete memoryless channel. The decoder knows the channel and the code but does not know the source statistics. This paper proposes several universal channel decoders that take advantage of the source redundancy without requiring prior knowl...",,May 2008,10.1109/TIT.2008.920187,https://ieeexplore.ieee.org/document/4494696,new
ieee:4560104,journal,Low complexity decoding for Raptor codes for hybrid-ARQ systems,"Jun Heo, Sung Won Kim, Joon Tae Kim, Jin Young Kim","In this paper we present a low complexity decoding algorithm for Raptor codes which is used for incremental redundancy hybrid ARQ schemes. Encoding and decoding Raptor codes are the processes of making encoding symbols from the source symbols and the recovery of the source symbols from the received encoding symbols transmitted through an erasure channel, respectively. If the received encoding symb...",,May 2008,10.1109/TCE.2008.4560104,https://ieeexplore.ieee.org/document/4560104,new
ieee:4511656,magazine,"IPTV Systems, Standards and Architectures: Part II - Application Layer FEC In IPTV Services","Michael Luby, Thomas Stockhammer, Mark Watson","Insufficient quality due to packet loss is one of the main obstacles to the broad adoption of IPTV services. However, with the use of end-to- end application layer reliability solutions IPTV services can be enabled over existing IP networks. In particular, application layer forward error correction (AL-FEC) solutions provide a straightforward and powerful means to overcome packet loss. Different s...",,May 2008,10.1109/MCOM.2008.4511656,https://ieeexplore.ieee.org/document/4511656,new
ieee:4560175,journal,Joint source and channel coding for 3D video with depth image - based rendering,"B. Kamolrat, W.A.C. Fernando, M. Mrak, A. Kondoz","Following recent commercial availability of autostereoscopic 3D displays that allow 3D visual data to be viewed without the use of special headgear or glasses, it is anticipated that the applications of 3D video will increase rapidly in near future. In this paper we propose a joint source channel coding scheme for depth image-based rendering based 3D video coding. We considered different source an...",,May 2008,10.1109/TCE.2008.4560175,https://ieeexplore.ieee.org/document/4560175,new
ieee:4524289,journal,Low complexity and fractional coded cooperation for wireless networks,"Andrew W. Eckford, Josephine P. K. Chu, Raviraj S. Adve","Wireless networks, and especially wireless sensor networks, have complexity and energy constraints, within which they must confront the challenging wireless fading environment. In this paper, fractional cooperation is introduced, which is shown to provide energy-efficient and low-complexity diversity gains for constant energy costs per bit throughout the network. To minimize complexity, cooperatio...",,May 2008,10.1109/TWC.2008.070221,https://ieeexplore.ieee.org/document/4524289,new
ieee:4560102,journal,Performance analysis of forward error correcting codes in IPTV,"Sung Won Kim, Sun Young Kim, Saejoon Kim, Jun Heo",In recent years the forward error correction (FEC) schemes at the binary erasure channel have been researched for many applications including DVB-H and IPTV systems. In most cases the packet-level FEC strategies are implemented by either Reed-Solomon (RS) codes at the link layer or Raptor codes at the application layer. Recently an enhanced decoding method for RS codes was presented. The enhanced-...,,May 2008,10.1109/TCE.2008.4560102,https://ieeexplore.ieee.org/document/4560102,new
ieee:4479880,journal,Finite-Length Extrinsic Information Transfer (EXIT) Analysis for Coded and Precoded ISI Channels,"Peiyu Tan, Jing Li","In this paper, we consider the classic problem of accessing coded and precoded intersymbol interference (ISI) channels, and particularly partial response (PR) channels, which are widely used in modeling magnetic recording systems. Previous work has either treated the binary precoder as an exclusive function of the channel characteristics, disregarding possible impact from the channel code, or, in ...",,May 2008,10.1109/TMAG.2008.917367,https://ieeexplore.ieee.org/document/4479880,new
ieee:4524249,journal,Secure MIMO Communications in a System with Equal Numbers of Transmit and Receive Antennas,"Hyungjin Kim, John D. Villasenor",Secure communications in a multiple input multiple output (MIMO) system in which the eavesdropper&#39;s channel is inherently superior to that of the legitimate receiver is described. Both the legitimate receiver and the eavesdropper are assumed to have equal knowledge and comparable computational capabilities and there is no &#34;secret key&#34; known only to the legitimate receiver. The combination of artif...,,May 2008,10.1109/LCOMM.2008.080077,https://ieeexplore.ieee.org/document/4524249,new
