"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"New Design of High-Rate Generalized Root Protograph LDPC Codes for Nonergodic Block Interference","C. Kim; J. -S. No; G. Kim; H. -Y. Song; J. Ahn","Department of Electrical and Computer Engineering, Institute of New Media and Communications, Seoul National University, Seoul, South Korea; Department of Electrical and Computer Engineering, Institute of New Media and Communications, Seoul National University, Seoul, South Korea; School of Electrical and Electronic Engineering, Yonsei University, Seoul, South Korea; School of Electrical and Electronic Engineering, Yonsei University, Seoul, South Korea; Agency for Defense Development, Daejeon, South Korea",IEEE Communications Letters,"10 Feb 2019","2019","23","2","214","217","In this letter, we propose high-rate generalized root protograph (GRP) low-density parity-check (LDPC) codes for a nonergodic two-state binary symmetric channel with block interference with and without block fading. In these channels, the proposed GRP LDPC codes have asymptotic and finite-length performance improvement approaching to channel outage probability.","1558-2558","","10.1109/LCOMM.2018.2885944","Electronic Warfare Research Center at Gwangju Institute of Science and Technology (GIST); Defense Acquisition Program Administration; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8571264","Block fading;block interference;low-density parity-check (LDPC) codes;protograph LDPC codes;root protograph (RP) LDPC codes","Parity check codes;Hamming weight;Fading channels;Power system reliability;Probability;Interference;Channel models","","5","","11","IEEE","9 Dec 2018","Feb. 2019","","IEEE","IEEE Journals"
"Optimal Search for Girth-8 Quasi Cyclic and Spatially Coupled Multiple-Edge LDPC Codes","M. -R. Sadeghi","Department of Mathematics and Computer Science, Amirkabir University of Technology, Tehran, Iran",IEEE Communications Letters,"10 Sep 2019","2019","23","9","1466","1469","Two essential categories of LDPC codes that are more preferable to other types are quasi-cyclic LDPC (QC-LDPC) codes and spatially coupled LDPC convolutional codes (SC-LDPC-CCs) because of their excellent performance curves in waterfall and error floor regions. An efficient approach to construct these codes is protograph-based method that is categorized into two classes: single-edge (SE) and multiple-edge (ME) protographs. We, for the first time, provide a necessary and sufficient condition for exponent matrices of these codes with girth-8 and based on the ME-protographs. As a result, a lower bound on the lifting degree of girth-8 ME-QC-LDPC codes and a lower bound on the syndrome former memory order of girth-8 ME-SC-LDPC-CCs are obtained, which are tighter than the existing bounds in the literature.","1558-2558","","10.1109/LCOMM.2019.2924892","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8745471","Multiple-edge protographs;QC-LDPC codes;SC-LDPC-CCs;girth;difference matrices;lifting degree","Parity check codes;Convolutional codes;Couplings;Indexes;Upper bound;Computer performance","","20","","10","IEEE","25 Jun 2019","Sept. 2019","","IEEE","IEEE Journals"
"Optimization of QC-LDPC Codes by Edge Exchange Method Based on ACE","X. Qin; C. Yang; Z. Zheng; Z. Wang","State Key Laboratory of Advanced Optical Communication Systems and Networks, Peking University, Beijing, China; Purple Mountain Laboratories, Nanjing, China; State Key Laboratory of Advanced Optical Communication Systems and Networks, Peking University, Beijing, China; State Key Laboratory of Advanced Optical Communication Systems and Networks, Peking University, Beijing, China",IEEE Photonics Technology Letters,"20 Aug 2019","2019","31","17","1401","1404","Long quasi-cyclic low-density parity check (QC-LDPC) codes have been chosen as one of the forward error correction (FEC) schemes in passive optical network (PON) systems benefiting from the excellent performance. About how to get the appropriate LDPC codes, some traditional methods which focus on obtaining large girth or flat approximated cycle extrinsic message degree (ACE) spectrums are proposed for the design of LDPC codes. These methods which may still make the existence of small stopping sets containing short cycles probably are not so useful for long QC-LDPC codes. Recently, the parallel vector message passing (PMP) algorithm oriented-to decreasing the number of short cycles is proved to be an effective method to optimize LDPC codes. Since ignoring short cycles with poor connectivity which can induce error floor, this method cannot guarantee its effectiveness for long QC-LDPC codes. In this letter, an edge exchange optimization method based on the global properties of ACE and girth called EEA method is proposed, which tries to reduce cycles with low ACE in the order of cycle length. The numerical results prove that our EEA method can bring the improvements of error floor up to two orders of magnitude to long QC-LDPC codes and obviously outperforms PMP algorithm.","1941-0174","","10.1109/LPT.2019.2927029","National Key R&D Program of China(grant numbers:2018YFB1801702); Joint Fund of the Ministry of Education(grant numbers:6141A02033347); National Natural Science Foundation of China(grant numbers:61605241); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8756119","Quasi-cyclic low-density parity check (QC-LDPC) codes;passive optical network (PON);approximated cycle extrinsic message degree (ACE)","Parity check codes;Passive optical networks;Adaptive optics;Optimization;Laboratories;Forward error correction","","5","","12","IEEE","5 Jul 2019","1 Sept.1, 2019","","IEEE","IEEE Journals"
"Decoder-in-the-Loop: Genetic Optimization-Based LDPC Code Design","A. Elkelesh; M. Ebada; S. Cammerer; L. Schmalen; S. ten Brink","Institute of Telecommunications, University of Stuttgart, Stuttgart, Germany; Institute of Telecommunications, University of Stuttgart, Stuttgart, Germany; Institute of Telecommunications, University of Stuttgart, Stuttgart, Germany; Communications Engineering Lab, Karlsruhe Institute of Technology, Karlsruhe, Germany; Institute of Telecommunications, University of Stuttgart, Stuttgart, Germany",IEEE Access,"7 Oct 2019","2019","7","","141161","141170","LDPC code design tools typically rely on asymptotic code behavior and are affected by an unavoidable performance degradation due to model imperfections in the short length regime. We propose an LDPC code design scheme based on an evolutionary algorithm, the Genetic Algorithm (GenAlg), implementing a “decoder-in-the-loop” concept. It inherently takes into consideration the channel, code length and the number of iterations while optimizing the error-rate of the actual decoder hardware architecture. We construct short length LDPC codes (i.e., the parity-check matrix) with error-rate performance comparable to, or even outperforming that of well-designed standardized short length LDPC codes over both AWGN and Rayleigh fading channels. Our proposed algorithm can be used to design LDPC codes with special graph structures (e.g., accumulator-based codes) to facilitate the encoding step, or to satisfy any other practical requirement. Moreover, GenAlg can be used to design LDPC codes with the aim of reducing decoding latency and complexity, leading to coding gains of up to 0.325 dB and 0.8 dB at BLER of 10-5 for both AWGN and Rayleigh fading channels, respectively, when compared to state-of-the-art short LDPC codes. Also, we analyze what can be learned from the resulting codes and, as such, the GenAlg particularly highlights design paradigms of short length LDPC codes (e.g., codes with degree-1 variable nodes obtain very good results).","2169-3536","","10.1109/ACCESS.2019.2942999","DFG, Germany(grant numbers:BR 3205/5-1); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8846017","LDPC codes;belief propagation decoding;short LDPC code design;EXIT charts;genetic algorithm;evolutionary algorithms;artificial intelligence;decoding complexity","Parity check codes;Decoding;Design tools;Encoding;Genetic algorithms;Belief propagation;Evolutionary computation;Artificial intelligence;Complexity theory","","31","","25","CCBY","23 Sep 2019","2019","","IEEE","IEEE Journals"
"On the Class of High-Rate QC-LDPC Codes With Girth 8 From Sequences Satisfied in GCD Condition","M. Majdzade; M. Gholami","Department of Mathematics, Shahrekord University, Shahrekord, Iran; Department of Mathematical Sciences, Shahrekord University, Shahrekord, Iran",IEEE Communications Letters,"9 Jul 2020","2020","24","7","1391","1394","Recently, a class of (J, L) quasi-cyclic (QC) low-density parity-check (LDPC) codes with girth eight is constructed based on the greatest-common-divisor (GCD) condition. For L = 3, an equivalence between the sequences generated by a greedy algorithm satisfying in GCD condition and a known class of integer sequences, called Stanley sequences has been proposed as an open problem. In this letter, we solve this problem in a more general case by introducing the class of 3-free sets as a generalization of Stanley sequences and showing an equivalence between 3-free sets and the sequences satisfied in GCD condition. Then, a new algorithm is proposed to find 3-free sets efficiently usually having larger size than the known methods, leading to column-weight 3 QC-LDPC codes with smaller lengths and better 8-cycle distributions. In addition, a new explicit formula is proposed to construct Stanley sequences which results in a class of girth-8 column-weight 3 QC-LDPC codes with high rates. The protograph QC-LDPC codes lifted from the constructed base matrices outperform progressive-edge-growth (PEG), randomlike and some recent QC-LDPC codes with the same girth.","1558-2558","","10.1109/LCOMM.2020.2983019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9045939","QC-LDPC codes;3-free sets;stanley sequences;girth;exponent matrix","Parity check codes;Phase change materials;Generators;Sparse matrices;Greedy algorithms;Bit error rate","","9","","18","IEEE","24 Mar 2020","July 2020","","IEEE","IEEE Journals"
"New GRP LDPC Codes for H-ARQ-IR Over the Block Fading Channel","C. Kim; S. -H. Kim; J. -S. No","Division of National Supercomputing, Korea Institute of Science and Technology Information (KISTI), Daejeon, South Korea; Department of Electrical and Computer Engineering, Sungkyunkwan University, Suwon, South Korea; Department of Electrical and Computer Engineering, INMC, Seoul National University, Seoul, South Korea",IEEE Transactions on Communications,"17 Nov 2020","2020","68","11","6642","6656","In this paper, we propose a new construction of generalized root protograph (GRP) low-density parity-check (LDPC) codes which has a guaranteed diversity order. New hybrid-automatic request with incremental redundancy (H-ARQ-IR) is also proposed to ensure high diversity and rate-compatibility in wireless communication systems, where the GRP LDPC codes are employed along with a method called feedback encoding. The proposed H-ARQ-IR has advantages of low-complexity and near-optimal performance. In order to show its performance behavior, theoretical analysis for the proposed scheme is conducted for the block fading channel. Furthermore, numerical analysis shows that it achieves near maximum diversity order under the belief propagation (BP) decoding with binary phase shift keying (BPSK) modulation and high-order quadrature amplitude modulations (QAMs).","1558-0857","","10.1109/TCOMM.2020.3011964","basic science research program through the national research foundation of Korea(grant numbers:NRF-2018R1A2B6004195); ministry of science and ICT; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9149698","Block fading;generalized root protograph low-density parity-check (GRP LDPC) codes;hybrid-automatic request with incremental redundancy (H-ARQ-IR);protograph LDPC codes;protograph extrinsic information transfer (PEXIT);root protograph (RP) LDPC codes","Parity check codes;Decoding;Fading channels;Encoding;Binary phase shift keying;Signal to noise ratio;Wireless communication","","12","","27","IEEE","27 Jul 2020","Nov. 2020","","IEEE","IEEE Journals"
"Design of Irregular SC-LDPC Codes With Non-Uniform Degree Distributions by Linear Programming","H. -Y. Kwak; J. -S. No; H. Park","Seoul National University, Gwanak-gu, Seoul, KR; Seoul National University, Gwanak-gu, Seoul, KR; Chonnam National University, Gwangju, Jeollanam-do, KR",IEEE Transactions on Communications,"16 Apr 2019","2019","67","4","2632","2646","In this paper, we propose new design algorithms of irregular spatially-coupled low-density parity-check (SC-LDPC) codes with non-uniform degree distributions using linear programming (LP). In general, irregular SC-LDPC codes with non-uniform degree distributions are difficult to design with low complexity because their density evolution equations are multi-dimensional. To overcome this problem, proposed design algorithms are based on three main ideas: a local design of degree distributions, pre-computation of the input/output message relationship, and selection of a proper objective function. These ideas make it possible to design degree distributions of irregular SC-LDPC codes by solving low-complexity LP problems over the binary erasure channel (BEC). It is shown that the proposed irregular SC-LDPC codes designed by the proposed algorithms are superior to regular SC-LDPC codes in terms of both asymptotic and finite-length performances over the BEC. We also confirm that the proposed irregular SC-LDPC code achieves better performance compared with an optimized irregular block LDPC code in the same blocklength, which implies that the proposed design algorithms also provide a new way to construct capacity-approaching block LDPC codes.","1558-0857","","10.1109/TCOMM.2018.2889850","Samsung; National Research Foundation of Korea(grant numbers:NRF-2016R1A2B2012960); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8590739","Binary erasure channel (BEC);finite-length performance;linear programming (LP) problem;low-density parity-check (LDPC) codes;non-uniform degree distributions;spatially-coupled low-density parity-check (SC-LDPC) codes","Sockets;Linear programming;Iterative decoding;Mathematical model;Couplings;Complexity theory","","9","","29","IEEE","27 Dec 2018","April 2019","","IEEE","IEEE Journals"
"Integrated Design of JSCC Scheme Based on Double Protograph LDPC Codes System","Q. Chen; L. Wang; S. Hong; Y. Chen","Department of Communication Engineering, Xiamen University, Xiamen, China; Department of Communication Engineering, Xiamen University, Xiamen, China; Department of Communication Engineering, Xiamen University, Xiamen, China; School of Engineering, The University of Waikato, Hamiltion, New Zealand",IEEE Communications Letters,"10 Feb 2019","2019","23","2","218","221","In this letter, an integrated design of joint source-channel coding scheme based on the double protograph low-density parity-check (DP-LDPC) codes is proposed. As degree-2 variable nodes (VNs) structure plays an important role in the performance of both water-fall and error-floor regions, the maximum number of degree-2 VNs for DP-LDPC codes is determined from a global perspective. By comparing different allocation schemes for degree-2 VNs, new design principles are proposed. Several DP-LDPC codes with different numbers of degree-2 VNs are proposed. The simulated results reveal the superiority of the optimized DP-LDPC codes, which are in line with the decoding threshold analysis by a joint protograph extrinsic information transfer algorithm.","1558-2558","","10.1109/LCOMM.2018.2890243","National Natural Science Foundation of China(grant numbers:61671395); China Scholarship Council(grant numbers:201706310099); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594605","JSCC;double protograph LDPC;new design principles;integrated design;degree-2 VNs","Parity check codes;Decoding;Resource management;Integrated design;Channel coding;Optimization;Joining processes","","31","","14","IEEE","28 Dec 2018","Feb. 2019","","IEEE","IEEE Journals"
"Blind Recognition of LDPC Codes Over Candidate Set","Z. Wu; L. Zhang; Z. Zhong; R. Liu","Institute of Information Fusion, Chinese University of Aeronautics and Astronautics, Yantai, China; Institute of Information Fusion, Chinese University of Aeronautics and Astronautics, Yantai, China; Institute of Information Fusion, Chinese University of Aeronautics and Astronautics, Yantai, China; Institute of Information Fusion, Chinese University of Aeronautics and Astronautics, Yantai, China",IEEE Communications Letters,"8 Jan 2020","2020","24","1","11","14","Adaptive modulation and coding (AMC) techniques have attracted more attention recently because of flexible strategies and dynamic channel quality. Blind recognition of encoder is an important technology for AMC systems because it can improve communication efficiency very well. In this letter, we present a new algorithm to tackle blind low-density parity-check (LDPC) encoder identification over a given candidate set. Our proposed scheme establishes a cosine conformity (CC) of syndrome, which is a posterior probability that can measure the probability that all parity check relations of the codes are satisfied, and classifies the LDPC encoder leading to maximum average CC over the candidate set. Simulations show that the new method is effective for LDPC encoder identification; the theoretical correct ratio of recognition is consistent with the simulation results, and its performance is improved by nearly 1.5 dB when compared with the existing algorithm.","1558-2558","","10.1109/LCOMM.2019.2953229","National Natural Science Foundation of China(grant numbers:61179016); Taishan Scholar Project of Shandong Province(grant numbers:ts201511020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8897618","Adaptive modulation and coding (AMC);blind recognition;low-density parity-check codes (LDPC);cosine conformity (CC)","Parity check codes;Modulation;Encoding;Transmitters;Adaptive systems;Extraterrestrial measurements;Heuristic algorithms","","43","","15","IEEE","13 Nov 2019","Jan. 2020","","IEEE","IEEE Journals"
"On the Construction of Regular QC-LDPC Codes With Low Error Floor","A. Sarıduman; A. E. Pusane; Z. C. Taşkın","Department of Electrical and Electronics Engineering, Boğaziçi University, Istanbul, Turkey; Department of Electrical and Electronics Engineering, Boğaziçi University, Istanbul, Turkey; Department of Industrial Engineering, Boğaziçi University, Istanbul, Turkey",IEEE Communications Letters,"8 Jan 2020","2020","24","1","25","28","Quasi-cyclic low-density (QC-LDPC) codes benefit from efficient encoding hardware and display excellent error correcting performance. Therefore, they have been accepted into the 5G standards in addition to being potential candidates for next generation mobile systems. However, dominant trapping sets in the Tanner graphs cause some failures for the iterative decoding algorithm. In this letter, we propose a simulated annealing based method to find regular QC-LDPC codes without dominant trapping sets and have good error floor performance. Simulation results show that our proposed method generates QC-LDPC codes that have the best trapping sets distribution among recent works and better frame rate performance than others.","1558-2558","","10.1109/LCOMM.2019.2953058","Boğaziçi University Research Fund(grant numbers:18A03P3); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8897699","Low density parity check (LDPC) codes;trapping sets;quasi-cyclic (QC);elementary trapping sets;error floor","Parity check codes;Simulated annealing;Standards;Signal to noise ratio;Annealing;Floors;Decoding","","9","","14","IEEE","13 Nov 2019","Jan. 2020","","IEEE","IEEE Journals"
