"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Low-density parity-check codes for multilevel modulation","E. Eleftheriou; S. Olcer","IBM Research, Zurich Research Laboratory, Rüschlikon, Switzerland; IBM Research, Zurich Research Laboratory, Rüschlikon, Switzerland","Proceedings IEEE International Symposium on Information Theory,","26 Feb 2004","2002","","","442","","The application of low-density parity-check (LDPC) codes to multilevel modulation systems is studied. A family of binary LDPC codes that offer good performance and do not suffer from error-floor effects at low bit-error rates is introduced. A number of properties render these codes attractive for practical applications: they are specified via a small number of parameters, are encodable in linear time, and the generation of their parity-check matrix is deterministic, involving a small number of preprocessing operations. In addition, the symbol-mapping technique based on ""double Gray-code labeling"" for obtaining coded multilevel transmit symbols is described. Finally, it is shown that the proposed LDPC coding technique is well suited for multicarrier digital-subscriber-line transmission applications as it permits a wide range of trade-offs between latency, complexity, and system performance.","","0-7803-7501-7","10.1109/ISIT.2002.1023714","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1023714","","Parity check codes;Modulation coding;Quadrature amplitude modulation;Decoding;Sum product algorithm;Sparse matrices;DSL;Laboratories;Bit error rate;Delay","","11","","5","IEEE","26 Feb 2004","30 June-5 July 2002","30 June-5 July 2002","IEEE","IEEE Conferences"
"Bounds for low-density parity-check codes over partial-response channels","W. Tan; R. M. Todd; J. R. Cruz","School of Electrical and Computer Engineering, The University of Oklahoma, Norman, OK, USA; School of Electrical and Computer Engineering, The University of Oklahoma, Norman, OK, USA; School of Electrical and Computer Engineering, The University of Oklahoma, Norman, OK, USA",2002 IEEE International Magnetics Conference (INTERMAG),"7 Aug 2002","2002","","","EC3","","Summary form only given. The application of low-density parity-check (LDPC) codes to magnetic recording systems motivates the search for analytical ways to evaluate system performance over partial-response (PR) channels. In this paper a technique proposed by Duman and Kurtas (IEEE Trans. Inform. Theory, vol. 47, pp. 1203-1205, 2001) is extended to bound the frame error rate (FER) of high-rate LDPC codes. We circumvent the requirement that the weight distribution of the underlying code must be known by using estimates (A. Ashikhmin et al, ibid., vol. 47, pp. 1050-1061, 2001). This new bounding technique is used to compute the bounds for geometrically constructed LDPC codes over PR channels. Simulations are used to evaluate the computed bounds.","","0-7803-7365-0","10.1109/INTMAG.2002.1001123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1001123","","Parity check codes;Computational modeling;Magnetic recording;Linear code;Geometry;Bit error rate;Application software;Magnetic analysis;Performance analysis;System performance","","","","1","IEEE","7 Aug 2002","28 April-2 May 2002","28 April-2 May 2002","IEEE","IEEE Conferences"
"Unequal error protection using low-density parity-check codes","N. Rahnavard; F. Fekri","School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA","International Symposium onInformation Theory, 2004. ISIT 2004. Proceedings.","10 Jan 2005","2004","","","449","","In this study, we propose a scheme to construct low-density parity-check (LDPC) codes that are suitable for unequal error protection (UEP). We derive density evolution formulas for the proposed ensemble over the binary erasure channel (BEC). For the finite length case, we compare our code with some other LDPC codes and the time-sharing method. Simulation results indicate the superiority of the proposed design methodology for unequal error protection.","","0-7803-8280-3","10.1109/ISIT.2004.1365489","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1365489","","Error correction codes;Parity check codes;Computer errors;Time sharing computer systems;Linear matrix inequalities;Design methodology;Optical design;Optical fiber networks;Payloads;Error analysis","","31","","2","IEEE","10 Jan 2005","27 June-2 July 2004","27 June-2 July 2004","IEEE","IEEE Conferences"
"Belief-propagation with information correction: improved near maximum-likelihood decoding of low-density parity-check codes","N. Varnica; M. Fossorier","Division of Engineering and Applied Sciences, Harvard University, USA; Department of Electrical Engineering, University of Hawaii, Manoa, USA","International Symposium onInformation Theory, 2004. ISIT 2004. Proceedings.","10 Jan 2005","2004","","","343","343","We propose an improved beliefpropagation (BP) decoder for low-density parity-check (LDPC) codes based on channel information correction. We show that our algorithm achieves sizeable performance gains (in waterfall and error floor regions) compared to the standard BP decoder. We verify by examples that the proposed decoder almost achieves the maximum-likelihood decoding performance for short LDPC codes.","","0-7803-8280-3","10.1109/ISIT.2004.1365380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1365380","","Maximum likelihood decoding;Parity check codes;Code standards;Iterative decoding;Error analysis;Performance gain;Performance loss;Bridges;AWGN channels","","13","1","5","IEEE","10 Jan 2005","27 June-2 July 2004","27 June-2 July 2004","IEEE","IEEE Conferences"
"Gaussian approximation for sum-product decoding of low-density parity-check codes","Sae-Young Chung; R. Urbanke; T. J. Richardson","Laboratory for Information and Decision Systems, M.I.T., USA; Communications Theory Laboratory, EPF Lausanne, Lausanne, Switzerland; Lucent Technologies, Inc., Murray Hill, NJ, USA",2000 IEEE International Symposium on Information Theory (Cat. No.00CH37060),"6 Aug 2002","2000","","","318","","We use a Gaussian approximation (GA) for analyzing the sum-product algorithm for low-density parity-check (LDPC) codes and memoryless binary-input continuous-output additive white Gaussian noise (AWGN) channels. This simplification allows us to calculate the threshold quickly and to understand the behavior of the decoder better. We have also designed high rate LDPC codes using the Gaussian approximation that have thresholds less than 0.05 dB from the Shannon limit.","","0-7803-5857-0","10.1109/ISIT.2000.866616","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=866616","","Gaussian approximation;Parity check codes;H infinity control;AWGN;Iterative decoding;Error probability;Noise level;Laboratories;Algorithm design and analysis;Sum product algorithm","","8","","2","IEEE","6 Aug 2002","25-30 June 2000","25-30 June 2000","IEEE","IEEE Conferences"
"Codes for iterative decoding from partial geometries","S. J. Johnson; S. R. Weller","School of Electrical Engineering & Computer Science, University of Newcastle, Callaghan, NSW, Australia; School of Electrical Engineering & Computer Science, University of Newcastle, Callaghan, NSW, Australia","Proceedings IEEE International Symposium on Information Theory,","26 Feb 2004","2002","","","310","","This work develops codes suitable for iterative decoding using the sum-product algorithm. We consider regular low-density parity-check (LDPC) codes derived from partial geometries, a large class of combinatorial structures which include several of the previously proposed algebraic constructions for LDPC codes as special cases. We derive bounds on minimum distance and rank/sub 2/(H) for codes from partial geometries, and present constructions and performance results for two classes of partial geometries which have not previously been proposed for use with iterative decoding.","","0-7803-7501-7","10.1109/ISIT.2002.1023582","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1023582","","Iterative decoding;Geometry;Parity check codes;Eigenvalues and eigenfunctions;Australia;Sum product algorithm;Bit error rate;AWGN channels;Upper bound","","8","","4","IEEE","26 Feb 2004","30 June-5 July 2002","30 June-5 July 2002","IEEE","IEEE Conferences"
"Low density parity check codes based on finite geometries: a rediscovery","Yu Kou; Shu Lin; M. P. C. Fossorier","Department of Electrical and Computer Engineering, University of California, Davis, CA, USA; Department of Electrical and Computer Engineering, University of California, Davis, CA, USA; Department of Electrical Engineering, University of Hawaii, Manoa, Honolulu, HI, USA",2000 IEEE International Symposium on Information Theory (Cat. No.00CH37060),"6 Aug 2002","2000","","","200","","LDPC codes with iterative decoding based on belief propagation have been shown to achieve astonishing error performance. But no algebraic or geometric method has been found for constructing these codes. Codes that have been found are largely computer generated, especially long codes. In this paper, we present two classes of high rate LDPC codes whose constructions are based on the lines of two-dimensional finite Euclidean and projective geometries, respectively.","","0-7803-5857-0","10.1109/ISIT.2000.866498","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=866498","","Parity check codes;Iterative decoding;Computer errors;Null space;Computational geometry;Galois fields;Virtual colonoscopy;Character generation;Polynomials;Encoding","","6","4","","IEEE","6 Aug 2002","25-30 June 2000","25-30 June 2000","IEEE","IEEE Conferences"
"Soft decoding of several classes of array codes","M. Blaum; J. L. Fan; Lihao Xu","IBM Research, San Jose, CA, USA; Flarion Technologies, Bedminster, NJ, USA; Department of Computer Science, Washington University, Saint Louis, MO, USA","Proceedings IEEE International Symposium on Information Theory,","26 Feb 2004","2002","","","368","","The potential of using various classes of MDS array codes as LDPC codes is examined. These codes include the BR code, a modified EVENODD code, and the X-code. The algebraic structures of the array codes can enable more efficient encoding and decoding in terms of memory space and computation time. Experimental results show iterative decoding of these array codes provides comparable or slightly better error correction performance than a regular LDPC code with similar parameters. In addition, these codes can be decoded as array codes.","","0-7803-7501-7","10.1109/ISIT.2002.1023640","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1023640","","Parity check codes;Belief propagation;Error correction codes;AWGN;Encoding;Iterative decoding;Degradation;Additive white noise;Signal to noise ratio;Computer science","","5","","4","IEEE","26 Feb 2004","30 June-5 July 2002","30 June-5 July 2002","IEEE","IEEE Conferences"
"Irregular codes from regular graphs","P. O. Vontobel; H. . -A. Loeliger","ISI/ETH Zentrum, Zurich, Switzerland; ISI/ETH Zentrum, Zurich, Switzerland","Proceedings IEEE International Symposium on Information Theory,","26 Feb 2004","2002","","","284","","It has been recognized that appropriately chosen irregular low-density parity-check (LDPC) codes have a remarkable performance advantage compared to regular LDPC codes and that their threshold is much better. Starting with regular graphs, we construct codes consisting of more sophisticated subcodes (compared to simple XORs) and show that performance gains can be achieved by optimizing the proportions of the high-degree bit nodes and the different subcodes being used.","","0-7803-7501-7","10.1109/ISIT.2002.1023556","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1023556","","Parity check codes;Bipartite graph;Performance gain;Design optimization;AWGN channels;Decoding","","4","4","5","IEEE","26 Feb 2004","30 June-5 July 2002","30 June-5 July 2002","IEEE","IEEE Conferences"
"Cycle Tanner-graph codes over GF(2/sup b/)","X. . -Y. Hu; E. Eleftheriou","Zurich Research Laboratory, IBM Research, Ruschlikon, Switzerland; Zurich Research Laboratory, IBM Research, Ruschlikon, Switzerland","IEEE International Symposium on Information Theory, 2003. Proceedings.","15 Sep 2003","2003","","","87","","The average Hamming weight spectrum function of the random ensemble of regular low-density parity-check (LDPC) codes over GF(2/sup b/) when used with binary-input channels is derived. This work confirms theoretically that the near-Shannon-limit performance of Gallager's binary LDPC codes can be significantly enhanced by moving to fields of higher order. We construct a family of error-correcting codes based on the binary representation of GF(2/sup b/) codes defined on a cycle Tanner graph, that appears to be good for both optimum decoding and iterative decoding over binary-input channels.","","0-7803-7728-1","10.1109/ISIT.2003.1228101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1228101","","Iterative decoding;Parity check codes;Hamming weight;Linear code;Maximum likelihood decoding;Laboratories;Error correction codes;Sparse matrices;Light rail systems;AWGN channels","","3","","3","IEEE","15 Sep 2003","29 June-4 July 2003","29 June-4 July 2003","IEEE","IEEE Conferences"
