"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Switching Activity in Stochastic Decoders","V. C. Gaudet; W. J. Gross","Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada; Department of Electrical and Computer Engineering, McGill University, Montreal, QUE, Canada",2010 40th IEEE International Symposium on Multiple-Valued Logic,"21 Jun 2010","2010","","","167","172","Stochastic iterative decoders are a recently introduced hardware-oriented class of message-passing algorithms for ultra-low complexity error-correcting decoders. We show that dynamic power consumption in stochastic decoders is exposed at the algorithmic level and can be evaluated from the values of messages passed on the code's factor graph. This observation leads to a method for evaluating the relative dynamic power consumption of stochastic decoders as early as the code design stage. We propose a method based on density evolution that can be used to compare code ensembles in terms of their decoding energy per information bit. We note that despite using a stochastic signaling scheme, stochastic decoders converge to a codeword and stop consuming dynamic power. Results illustrate that significant differences in power consumption can be identified at the code design stage and tradeoffs can be exploited before designing a specific implementation.","2378-2226","978-1-4244-6753-2","10.1109/ISMVL.2010.39","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5489115","LDPC;iterative decoding;stochastic decoding;low-power design","Stochastic processes;Energy consumption;Parity check codes;Iterative decoding;Iterative algorithms;Computational modeling;Circuit simulation;Logic;Power engineering computing;Power engineering and energy","","9","","16","IEEE","21 Jun 2010","26-28 May 2010","26-28 May 2010","IEEE","IEEE Conferences"
"Improved BP-OSD cascade decoding algorithm using limited likelihood information","Q. Guolei; D. Zijian","School of Electronic Engineering, Huaihai Institute of Technology, Lianyungang, China; School of Electronic Engineering, Huaihai Institute of Technology, Lianyungang, China",2010 2nd International Conference on Signal Processing Systems,"23 Aug 2010","2010","2","","V2-23","V2-25","In this work, we use restricted likelihood information of belief propagation (BP) algorithm to improve the accuracy of sorting in order statistic decoding (OSD) for low-density parity-check (LDPC) codes. The reliability information delivered from the last BP iteration to OSD algorithm is inaccurate because that the propagation information may be enlarged for the existence of girths, thence limitation on iterative information can been applied to improve the OSD decoding performance. Simulation results show that the proposed method is effective.","","978-1-4244-6893-5","10.1109/ICSPS.2010.5555229","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5555229","Low-density parity-check codes;Belief Propagation;Log-likelihood Ratio (LLR)","Signal processing algorithms;Iterative decoding;Maximum likelihood decoding;Correlation;Reliability","","","","5","IEEE","23 Aug 2010","5-7 July 2010","5-7 July 2010","IEEE","IEEE Conferences"
"Optimized variable degree matched mapping for protograph LDPC coded modulation with 16QAM","Y. Jin; M. Jiang; C. Zhao","National Mobile Communications Research Laboratory, South-East University, Nanjing, China; National Mobile Communications Research Laboratory, South-East University, Nanjing, China; National Mobile Communications Research Laboratory, South-East University, Nanjing, China",2010 6th International Symposium on Turbo Codes & Iterative Information Processing,"28 Oct 2010","2010","","","161","165","The protograph LDPC (P-LDPC) coded modulation is an efficient scheme using the variable degree matched mapping (VDMM) based on the protograph structure. We propose a VDMM optimization strategy, as a crucial part for the P-LDPC coded modulation, by checking different permutation patterns between the variable nodes in protograph and the modulated bits. Then, we develop a modified EXIT analysis for evaluating the thresholds for P-LDPC coded modulation. For some specified P-LDPC codes and 16QAM constellations, the optimum patterns for VDMM can be obtained by a limited number of searches based on the modified EXIT analysis. We find that for a certain labeling, the edge distributions of the protogragh structure should be taken into consideration, rather than using the water-filling strategy or BICM approach. Decoding simulations, being consistent with the numerical analysis results, show that P-LDPC coded modulation with the optimum pattern noticeably outperforms that with the conventional water-filling pattern.","2165-4719","978-1-4244-6746-4","10.1109/ISTC.2010.5613828","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5613828","","Optimized production technology","","22","","18","IEEE","28 Oct 2010","6-10 Sept. 2010","6-10 Sept. 2010","IEEE","IEEE Conferences"
"Universal LDPC codes for cooperative communications","D. Duyck; M. Moeneclaey; M. H. Azmi; J. Yuan; J. J. Boutros","Ghent University, Ghent, Belgium; Ghent University, Ghent, Belgium; University of New South Wales, Sydney, Australia; University of New South Wales, Sydney, Australia; Texas A and M University, Doha, Qatar",2010 6th International Symposium on Turbo Codes & Iterative Information Processing,"28 Oct 2010","2010","","","73","77","Cooperative communication is a well known technique to yield transmit diversity in the case of fading channels and to increase the spectral efficiency in the case of Gaussian channels. Error-correcting codes have to be carefully designed to achieve the promised gains. Good LDPC codes are known for fading channels and for Gaussian channels, but an LDPC code ensemble that performs well on both channels has not yet been presented in the literature. This paper merges two families of LDPC codes into a universal LDPC code ensemble for both fading channels and Gaussian channels. Furthermore, the new universal LDPC code ensemble outperforms previously proposed codes on the block fading channel, which is explained through a fading space analysis. Simulation of the word error rate performance of the new proposed family of LDPC codes shows that it performs well on both fading channels and Gaussian channels.","2165-4719","978-1-4244-6746-4","10.1109/ISTC.2010.5613805","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5613805","","Equations;Variable speed drives;Radio access networks;Parity check codes","","6","","12","IEEE","28 Oct 2010","6-10 Sept. 2010","6-10 Sept. 2010","IEEE","IEEE Conferences"
"DmF Cooperation Based on Joint Network-Channel Coding in Wireless Communication","G. Li; Z. Shi","National Key Laboratory of Science and Technology on Communication, University of Electronic Science and Technology, China; National Key Laboratory of Science and Technology on Communication, University of Electronic Science and Technology, China",2010 6th International Conference on Wireless Communications Networking and Mobile Computing (WiCOM),"14 Oct 2010","2010","","","1","4","In this paper, we study the strategy of Demodulation-and-Forward(DmF) based on joint network and channel coding and extend it to multi-user access relay channel . In DmF model, there are two users accessing the relay. Users encode original signals using LDPC codes. In the relay, we conduct demodulation instead of decoding and implement network coding that is the Demodulation-and-Forward(DmF) method which based on joint network-channel coding. Throughout the whole DmF system, we implement encoding with LDPC codes only once in users. And at the base station, we only use one matrix H to decode all of these signals from the users and the relay jointly. Finally, we extend the DmF model to cases of three users and four and take some improvement in the relay and base station which is called extended DmF model. In the extended model, we encode the codeword using LDPC codes again after network coding in the relay, namely, we encode signals twice using LDPC codes throughout the whole system. In the base station, we redesign the parity check matrix H which can also decode all of signals from the users and relay jointly. The result shows us that the DmF model has lower hardware complexity and more practicability than DF. And we can apply it to multi-user access relay channel effectively.","2161-9654","978-1-4244-3708-5","10.1109/WICOM.2010.5600995","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5600995","","Relays;Parity check codes;Encoding;Base stations;Joints;Decoding;Network coding","","2","","7","IEEE","14 Oct 2010","23-25 Sept. 2010","23-25 Sept. 2010","IEEE","IEEE Conferences"
"Iterative decoding of a class of cyclic codes","L. Zhang; Q. Huang; S. Lin","Department of Electrical and Computer Engineering, University of California, Davis, CA, USA; Department of Electrical and Computer Engineering, University of California, Davis, CA, USA; Department of Electrical and Computer Engineering, University of California, Davis, CA, USA",2010 Information Theory and Applications Workshop (ITA),"26 Apr 2010","2010","","","1","9","Among the classes of LDPC codes that have been constructed and designed, the only class of LDPC codes that are cyclic is the class of codes constructed based on the incidence vectors of lines of finite geometries, called finite geometry LDPC codes. Cyclic finite geometry LDPC codes are known to have large minimum distances and can provide good error performance with very low error-floors using iterative decoding based on belief propagation. Their cyclic structure allows them to be efficiently and systematically encoded with simple shift-registers in linear time with linear complexity. An obvious question is whether, besides cyclic finite geometry LDPC codes, there are other cyclic codes with large minimum distances that can be efficiently decoded iteratively using channel soft information. In this paper, we present one such class of cyclic codes. Codes in this class are two-step majority-logic decodable and they are also constructed based on finite geometries. Two iterative decoding algorithms are devised for this class of cyclic codes and they provide significant coding gain over the two-step majority-logic decoding of codes in this class.","","978-1-4244-7014-3","10.1109/ITA.2010.5454113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5454113","","Iterative decoding;Parity check codes;Iterative algorithms;Error correction;Data storage systems;Sparse matrices;Degradation;Computational geometry;Block codes;Performance gain","","1","","13","IEEE","26 Apr 2010","31 Jan.-5 Feb. 2010","31 Jan.-5 Feb. 2010","IEEE","IEEE Conferences"
"Data conflict resolution for layered LDPC decoding algorithm by selective recalculation","W. Ji; M. Hamaminato; H. Nakayama; S. Goto","Fujitsu Laboratories Limited, Kawasaki, Japan; Fujitsu Laboratories Limited, Kawasaki, Japan; Fujitsu Laboratories Limited, Kawasaki, Japan; Graduate School of Information, Production and Systems, Waseda University, Fukuoka, Japan",2010 3rd International Congress on Image and Signal Processing,"29 Nov 2010","2010","6","","2985","2989","Layered LDPC decoding algorithm is known to achieve high Bit Error Rate (BER) performance and high throughput for LDPC decoders. However, for ISDB-S2 (Integrated Services Digital Broadcasting via Satellite - Second Generation) LDPC decoder, applying layered algorithm directly will result in data conflict problem. In this paper, a novel selective recalculation method is proposed to solve the data conflict problem. It determines the inaccurately calculated values based on a recalculation decision rule, and correct them accordingly. By applying this selective recalculation method, the layered algorithm can achieve conflict free BER performance. Simulation results demonstrate that the proposed method can achieve 0.1dB gain for the code with most conflicts in ISDB-S2, under the same BER performance compared to the previous strategy to solve data conflict problem.","","978-1-4244-6516-3","10.1109/CISP.2010.5647529","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5647529","LDPC decoding algorithm;ISDB-S2","Parity check codes;Equations;Communication standards;Digital multimedia broadcasting;Multiplexing;Data communication;Manganese","","4","","11","IEEE","29 Nov 2010","16-18 Oct. 2010","16-18 Oct. 2010","IEEE","IEEE Conferences"
"A Resource-Efficient Decoder Architecture for LDPC Codes","Q. Hong; J. Wang; W. Lei","Tsinghua National Laboratory for Information Science and Technology (TNlist) Department of Microelectronics and Nanoelectronics, Tsinghua University, Beijing, China; Tsinghua National Laboratory for Information Science and Technology (TNlist) Department of Electronic Engineering, Tsinghua University, Beijing, China; Tsinghua National Laboratory for Information Science and Technology (TNlist) Department of Electronic Engineering, Tsinghua University, Beijing, China",2010 International Conference on Electrical and Control Engineering,"11 Nov 2010","2010","","","244","248","A novel architecture for the LDPC decoder with Chinese DTTB standard is presented in this paper. Two kinds of schemes to do the minimizing operations in the horizontal process of min-sum algorithm are compared, and then a foldable horizontal process unit is developed to support the splitting-matrix architecture, which is a reuse architecture based on check matrix splitting to increase the resource efficiency of the decoder. Theoretical analyses and implementation results are both provided to demonstrate that the decoder using this architecture has higher resource utilization efficiency than classical decoder. In addition, the new architecture can also be applied to other LDPC decoder, especially to LDPC codes with long code words.","","978-1-4244-6881-2","10.1109/iCECE.2010.66","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5630711","QC-LDPC;decoder;resource efficiency","Decoding;Parity check codes;Indexes;Hardware;Clocks;Computer architecture;Equations","","","","18","IEEE","11 Nov 2010","25-27 June 2010","25-27 June 2010","IEEE","IEEE Conferences"
"Common architecture for decoding turbo and LDPC codes","T. S. V. Gautham; A. Thangaraj; D. Jalihal","Department of Electrical Engineering, Indian Institute of Technology Madras, Chennai, India; Department of Electrical Engineering, Indian Institute of Technology Madras, Chennai, India; Department of Electrical Engineering, Indian Institute of Technology Madras, Chennai, India",2010 National Conference On Communications (NCC),"15 Mar 2010","2010","","","1","5","Turbo codes and Low Density Parity Check (LDPC) codes have been shown to be practical codes that can approach Shannon capacity in several communication systems. In terms of performance and implementation complexity, LDPC codes and turbo codes are highly comparable, especially at coding rates around 1/2. In many recent wireless standards such as 3GPP LTE and WiMax, both turbo and LDPC codes have been recommended at the encoder. However, the decoder for turbo codes involves trellises and the BCJR algorithm, while the decoder for LDPC codes uses sparse graphs and the message passing algorithm. Therefore, in several implementations, a designer is forced to implement either the turbo decoder or the LDPC decoder. The main idea behind this work is to enable the implementation of both decoders using a common architecture. We view the constituent convolutional code in a turbo code as a block code, and construct a sparse parity check matrix for it. Then, the sparse matrix and the associated bipartite graph are used for decoding the convolutional code by soft message passing algorithms. Simulation results show a manageable degradation in performance with a reduction in complexity.","","978-1-4244-6386-2","10.1109/NCC.2010.5430239","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5430239","","Decoding;Parity check codes;Turbo codes;Message passing;Convolutional codes;Sparse matrices;Code standards;WiMAX;Block codes;Bipartite graph","","5","","8","IEEE","15 Mar 2010","29-31 Jan. 2010","29-31 Jan. 2010","IEEE","IEEE Conferences"
"LDPC coded two-way MIMO relay networks with physical layer network coding","Z. He; S. Roy","Department of Electrical and Computer Engineering, Laval University, Quebec, QUE, Canada; Department of Electrical and Computer Engineering, Laval University, Quebec, QUE, Canada",2010 25th Biennial Symposium on Communications,"27 May 2010","2010","","","301","304","Low-density parity-check (LDPC) codes offer a very powerful error correction technique which allows data transmission in wireless networks with arbitrarily low probability of error. This paper studies LDPC-coded wireless networks with a two-way relay scheme. Two techniques have been developed to increase the throughput of relay networks. First, only two time slots are used to perform one round of information exchange, by exploiting the concept of physical layer network coding. The sources transmit simultaneously their independent messages to the relay in slot 1, while the relay broadcasts the processed signal to the sources in slot 2. Secondly, to reduce the processing time at the relay, we have proposed an estimate-and-forward strategy for LDPC-coded two-way relay networks, where no LDPC decoder is required at the relay. The proposed estimate-and-forward strategy simplifies the processing at the relay, especially when the sources change the encoding parameters. Finally, an effective decoding algorithm has been developed at each source, by subtracting self-interference from the received signals. The simulation results indicate that the proposed LDPC-coded relaying network achieves extremely reliable transmission at very low signal-to-noise ratios.","","978-1-4244-5711-3","10.1109/BSC.2010.5472940","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5472940","","Parity check codes;MIMO;Relays;Physical layer;Network coding;Error correction codes;Wireless networks;Decoding;Data communication;Throughput","","2","","13","IEEE","27 May 2010","12-14 May 2010","12-14 May 2010","IEEE","IEEE Conferences"
