"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"High-Throughput Non-Binary LDPC Decoder Based on Aggressive Overlap Scheduling","I. Choi; J. -H. Kim","Silicon Works Co., Ltd., Daejeon, South Korea; Department of Electrical and Information Engineering, Seoul National University of Science and Technology, Seoul, South Korea",IEEE Transactions on Circuits and Systems I: Regular Papers,"23 Jun 2017","2017","64","7","1937","1948","Non-binary LDPC (NB-LDPC) codes offer better error correcting performance than their binary counterparts. However, to achieve excellent performance, decoding complexity and large memory are required, which makes it difficult to implement the high-throughput decoder. This paper presents a fully overlapped NB-LDPC decoder using three proposed techniques to improve throughput performance. First, an early bubble check is presented to reduce the initialization latency of the check node processing (CNP). Second, the CNP and variable node processing (VNP) are overlapped with the proposed backward memory scan method to hide the CNP latency within the VNP. Finally, we propose a redundant memory reuse technique to further decrease the latency of a single decoding iteration. We implemented the high-throughput decoder for (160, 80) regular (2, 4) NB-LDPC code over GF (64). The iteration latency was decreased by up to 57.5% with our three proposed methods. The proposed decoder achieved a throughput of 2.22 Gb/s at a 625-MHz frequency with 2.96-M gates in a 65-nm CMOS process. The proposed decoder showed outstanding area efficiency compared with the state-of-the-art decoders.","1558-0806","","10.1109/TCSI.2017.2677518","Basic Science Research Program through the National Research Foundation of Korea funded by the Ministry of Science, ICT & Future Planning(grant numbers:2015R1D1A1A01060247); IC Design Education Center; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7880589","NB-LDPC codes;overlap schedule;low latency check node processing;memory reuse technique","Decoding;Complexity theory;Algorithm design and analysis;Parity check codes;Phase change materials;Hardware;Throughput","","9","2","24","IEEE","17 Mar 2017","July 2017","","IEEE","IEEE Journals"
"FlexLevel NAND Flash Storage System Design to Reduce LDPC Latency","J. Guo; W. Wen; J. Hu; D. Wang; H. Li; Y. Chen","Department of Electrical and Computer Engineering, University of Pittsburgh, Pittsburgh, PA, USA; Department of Electrical and Computer Engineering, University of Pittsburgh, Pittsburgh, PA, USA; School of Electrical and Computer Engineering, Oklahoma State University, Stillwater, OK, USA; School of Computer Science, Northwestern Polytechnical University, Xi’an, China; Department of Electrical and Computer Engineering, University of Pittsburgh, Pittsburgh, PA, USA; Department of Electrical and Computer Engineering, University of Pittsburgh, Pittsburgh, PA, USA",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,"16 Jun 2017","2017","36","7","1167","1180","Aggressive technology scaling and adoption of multilevel-cell technique lead to progressive increase of bit error rate (BER) of NAND flash memory. Consequently, conventional error correction code is not adequate to guarantee system reliability. As an alternative, low density parity check (LDPC) code is introduced to provide more powerful error correction capability. However, to achieve better performance, LDPC code demands extra memory sensing operations and more data transfer cycles, directly leading to longer read latency. To achieve both system reliability and read efficiency, we propose the FlexLevel NAND flash storage system design in this paper. FlexLevel consists of two levels of optimization: 1) LevelAdjust and 2) AccessEval. At device level, the LevelAdjust technique is proposed to reduce BER by broadening noise margin via threshold voltage level reduction. With LevelAdjust, BER is greatly reduced and no extra sensing levels are required to protect data integrity. Hence, read performance is improved. However, while LevelAdjust can improve system reliability and read performance, it causes density loss. To balance read performance improvement and density loss, we propose the AccessEval technique at system level. AccessEval identifies data with high LDPC overhead and only applies LevelAdjust technique to these data. The experimental results show that compared with the best existing works, the proposed design can achieve up to 11% read speedup with negligible density loss.","1937-4151","","10.1109/TCAD.2016.2619480","NSF(grant numbers:NSF CNS-1253424,NSF ECCS-1202225); NSFC(grant numbers:61472322,61272122); Fundamental Research Funds for Central Universities of China(grant numbers:3102014JSJ0001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7605542","Bit error rate (BER);low density parity check (LDPC);NAND flash;noise margin;read latency","Parity check codes;Error correction codes;Bit error rate;Sensors;Interference;Reliability;Logic gates","","17","","38","IEEE","21 Oct 2016","July 2017","","IEEE","IEEE Journals"
"ABER Performance of LDPC-Coded OFDM Free-Space Optical Communication System Over Exponentiated Weibull Fading Channels With Pointing Errors","X. Liu; P. Wang; T. Liu; Y. Li; L. Guo; H. Tian","State Key Laboratory of Integrated Service Networks, Xidian University, Xi'an, China; School of Physics and Optoelectronic Engineering, Xidian University, Xi'an, China; State Key Laboratory of Integrated Service Networks, Xidian University, Xi'an, China; School of Physics and Optoelectronic Engineering, Xidian University, Xi'an, China; State Key Laboratory of Integrated Service Networks, Xidian University, Xi'an, China; State Key Laboratory of Integrated Service Networks, Xidian University, Xi'an, China",IEEE Photonics Journal,"19 Jul 2017","2017","9","4","1","13","A low-density parity-check (LDPC)-coded free space optical (FSO) orthogonal frequency-division multiplexing (OFDM) communication system over aggregated exponentiated Weibull (EW) fading channels with pointing errors considered is investigated. On the basis of the probability density function and cumulative distribution function of the composite channel gain, the analytical expressions of average bit error rate (ABER) of this FSO-OFDM system with on–off keying, K-ary quadrature amplitude modulation (QAM) and phase shift keying (PSK) modulation schemes are derived by using generalized Gauss–Lagurre quadrature rule, respectively. Monte Carlo simulations are provided to verify the validity of these three expressions. Furthermore, LDPC codes are applied in the simulation to improve the ABER performance. The results show that the ABER performance of 16-QAM-OFDM is better than that of the 16-PSK-OFDM system over composite EW fading channels, regardless of the turbulence strengths. For the modulation schemes involved, the degradation due to the increase of atmospheric turbulence strength for turbulence only scenario is more severe when compared with pointing errors included case. The study also demonstrates that significant coding gain improvement can be achieved by LDPC codes over EW fading channels, especially under strong turbulence condition. With pointing errors, more coding gain can be obtained when the jitter increases or beamwidth decreases.","1943-0655","","10.1109/JPHOT.2017.2723427","National Natural Science Foundation of China(grant numbers:61474090); Fundamental Research Funds for the Central Universities(grant numbers:JB160105); Key Research and Development Program of Shaanxi Province(grant numbers:2017ZDXM-GY-052); 111 Project of China(grant numbers:B08038); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7968273","Exponentiated weibull (EW) distribution;free-space optical communication;OFDM;LDPC;pointing errors.","Parity check codes;Fading channels;OFDM;Quadrature amplitude modulation;Adaptive optics;Optical transmitters","","15","","28","OAPA","4 Jul 2017","Aug. 2017","","IEEE","IEEE Journals"
"On Bit-Level Decoding of Nonbinary LDPC Codes","M. Zhang; K. Cai; Q. Huang; S. Yuan","Science and Math Cluster, Singapore University of Technology and Design, Singapore; Science and Math Cluster, Singapore University of Technology and Design, Singapore; School of Electronic and Information Engineering, Beihang University, Beijing, China; Qian Xuesen Laboratory of Space Technology, China Academy of Space Technology, Beijing, China",IEEE Transactions on Communications,"14 Sep 2018","2018","66","9","3736","3748","This paper addresses binary message-passing (MP) decoding for nonbinary low-density parity-check (NB-LDPC) codes based on the binary image of Galois field symbols. The parity-check matrix of NB-LDPC codes in binary form is used to perform MP. The corresponding nonbinary check node (CN) update and variable node (VN) update can thus be decomposed to a set of binary sub-CN updates and sub-VN updates with much lower computational complexity. In particular, we start from adapting the binary parity-check matrix with Gaussian elimination. Then, we add redundant rows to the parity-check matrix instead of adaptation to further improve the performance. A min-max operation based on the expanded matrix is proposed for the CN update. It not only decreases the computational complexity incurred by Gaussian elimination but also improves the error performance. Simulation results show that the bit-level decoding with min-max operation can achieve similar error performance as the extended min-sum algorithm, but the computational complexity can be lower than the min-sum algorithm for binary LDPC codes.","1558-0857","","10.1109/TCOMM.2018.2827994","SUTD-MIT IDC; Agency for Science, Technology and Research; Singapore University of Technology and Design(grant numbers:SRLS15095); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8340066","Non-binary LDPC codes;binary image;massage passing;bit-level;adaptation;min-max","Decoding;Reliability;Iterative decoding;Computational complexity;Message passing","","13","","29","IEEE","17 Apr 2018","Sept. 2018","","IEEE","IEEE Journals"
"Optimal Design of Cascade LDPC-CPM System Based on Bionic Swarm Optimization Algorithm","Y. Zhang; Q. Li; L. Huang; K. Dai; J. Song","Beijing National Research Center for Information Science and Technology, Beijing, China; Beijing National Research Center for Information Science and Technology, Beijing, China; Beijing National Research Center for Information Science and Technology, Beijing, China; Department of Precision Instrument, Tsinghua University, Beijing, China; Beijing National Research Center for Information Science and Technology, Beijing, China",IEEE Transactions on Broadcasting,"8 Aug 2018","2018","64","3","762","770","The direct-to-home satellite digital video broadcasting has been fast developed in the past decades, and the continuous phase modulation (CPM) is an alternative modulation scheme with the advantages of constant envelope and high spectral efficiency for the band-limited channel and non-linear amplifiers of the satellite transponder. In this paper, CPM cascaded with irregular low density parity check (LDPC) code is studied. A practical system model with global interleaving is proposed for the optimization of degree distribution of the LDPC codes, and code word design is obtained with a modified progressive edge-growth algorithm. Simulation results combined with theoretical analysis clarify the effect of signal-to-noise ratios and two important CPM parameters (modulation index h and correlation length L ), providing guidance for system design. Simulation on bit error rate performance show the validity of the proposed algorithm. This paper systematically solves the optimal system design of cascade irregular LDPC-CPM and is of great significance for future satellite broadcasting.","1557-9611","","10.1109/TBC.2018.2835769","National Natural Science Foundation of China(grant numbers:91738202); State Grid Corporation of China(grant numbers:WBS 52110417001A); Science and Technology on Information Transmission and Dissemination in Communication Networks Laboratory(grant numbers:ITD-U15005/KX152600014,KX162600028); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8369365","Irregular LDPC;degree distribution;continuous phase modulation;satellite broadcasting;chicken swarm optimization;extrinsic information transfer","Parity check codes;Satellite broadcasting;Optimization;Signal to noise ratio;System analysis and design;Standards;Decoding","","11","","40","IEEE","30 May 2018","Sept. 2018","","IEEE","IEEE Journals"
"Precoded MIMO Systems With Nonbinary LDPC Codes and Many-to-One Mapping","N. -Q. Nhan; P. Rostaing; K. Amis; E. Radoi; Y. R. Zheng","Lab-STICC, Université de Brest, CNRS, Université Bretagne Loire, CS 93837, Brest, France; Lab-STICC, Université de Brest, CNRS, Université Bretagne Loire, CS 93837, Brest, France; Institut Mines-Telecom; IMT Atlantique; Signal and Communications department; CNRS, Technopole Brest-Iroise CS 83818, France; Lab-STICC, Université de Brest, CNRS, Université Bretagne Loire, CS 93837, Brest, France; Department of Electrical and Computer Engineering, Missouri University of Science and Technology, Rolla, MO, USA",IEEE Transactions on Vehicular Technology,"16 Apr 2018","2018","67","4","3186","3194","A precoding design is proposed for multiple-input multiple-output (MIMO) systems utilizing nonbinary low-density parity check (NB-LDPC) codes and many-to-one mapping. When a high-order modulation scheme is used, many-to-one mapping converts a group of low-order Galois field (GF) coded symbols into one modulated MIMO symbol vector. In contrast, one-to-one mapping maps a high-order modulation symbol directly from one high-order GF coded symbol. With the help of an interleaver between the NB-LDPC encoder and the GF to MIMO symbol mapper, the many-to-one mapping enables turbo receiver and reduces the computational complexity by more than 95%. The proposed MIMO precoders enhance the error-rate performance of the many-to-one NB-LDPC MIMO system, especially in terms of reducing the error floor and improving the waterfall region. The proposed precoder design modifies the approach that suboptimally maximizes the minimal Euclidean distance between the received MIMO symbols. Simulation results show that the proposed precoders enhance the robustness of the precoder design and reduce the inner and outer iterations of the turbo receiver.","1939-9359","","10.1109/TVT.2017.2778005","National Science Foundation(grant numbers:ECCS-1408316,ECCS-1646548); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8120131","Iterative receiver;multiple-input multiple-output (MIMO) precoder;nonbinary low-density parity check (NB-LDPC)","MIMO;Receivers;Precoding;Parity check codes;Quadrature amplitude modulation;Signal to noise ratio","","1","","22","IEEE","27 Nov 2017","April 2018","","IEEE","IEEE Journals"
"Joint Channel Estimation and LDPC Decoding Over Time-Varying Impulsive Noise Channels","Y. Hou; R. Liu; B. Dai; L. Zhao","School of Electronic and Information Engineering, Beihang University, Beijing, China; School of Electronic and Information Engineering, Beihang University, Beijing, China; School of Electronic and Information Engineering, Beihang University, Beijing, China; School of Electronic and Information Engineering, Beihang University, Beijing, China",IEEE Transactions on Communications,"14 Jun 2018","2018","66","6","2376","2383","This paper tackles the problem of channel estimation and decoding in environments that exhibit time-varying block-memoryless impulsive noise. In order to perform the estimation in continuous value space and the decoding in discrete value space jointly, a novel message passing framework is proposed that combines the sampling-importance resampling (SIR) estimator and the LDPC sum-product decoder in an iterative manner. The resampling process within the framework is further improved based on the asymptotic performance analysis for mismatched decoding. The simulation results prove the validity of the enhanced SIR estimator in the proposed method and demonstrate our method can achieve better performance than the LDPC decoder with quantile estimator.","1558-0857","","10.1109/TCOMM.2018.2800748","Program for New Century Excellent Talents in University of China(grant numbers:NCET-12-0030); National Natural Science Foundation of China(grant numbers:91438116,61401010); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8278238","Impulsive noise;message passing framework;low-density parity-check codes;sampling-importance resampling;random-walk metropolis algorithm","Decoding;Iterative decoding;Channel estimation;Estimation;Message passing;Algorithm design and analysis","","10","","21","IEEE","1 Feb 2018","June 2018","","IEEE","IEEE Journals"
"Efficient Hardware Implementation of Probabilistic Gradient Descent Bit-Flipping","K. Le; F. Ghaffari; D. Declercq; B. Vasić","ETIS, ENSEA/University of Cergy-Pontoise/CNRS, Cergy-Pontoise, France; ETIS, ENSEA/University of Cergy-Pontoise/CNRS, Cergy-Pontoise, France; ETIS, ENSEA/University of Cergy-Pontoise/CNRS, Cergy-Pontoise, France; Department of Electrical and Computer Engineering, University of Arizona, Tucson, AZ, USA",IEEE Transactions on Circuits and Systems I: Regular Papers,"19 May 2017","2017","64","4","906","917","This paper deals with the hardware implementation of the recently introduced Probabilistic Gradient-Descent Bit-Flipping (PGDBF) decoder. The PGDBF is a new type of hard-decision decoder for Low-Density Parity-Check (LDPC) code, with improved error correction performance thanks to the introduction of deliberate random perturbation in the computing units. In the PGDBF, the random perturbation operates during the bit-flipping step, with the objective to avoid the attraction of so-called trapping-sets of the LDPC code. In this paper, we propose an efficient hardware architecture which minimizes the resource overhead needed to implement the random perturbations of the PGDBF. Our architecture is based on the use of a Short Random Sequence (SRS) that is duplicated to fully apply the PGDBF decoding rules, and on an optimization of the maximum finder unit. The generation of good SRS is crucial to maintain the outstanding decoding performance of PGDBF, and we propose two different methods with equivalent hardware overheads, but with different behaviors on different LDPC codes. Our designs show that the improved PGDBF performance gains can be obtained with a very small additional complexity, therefore providing a competitive hard-decision LDPC decoding solution for current standards.","1558-0806","","10.1109/TCSI.2016.2633581","Seventh Framework Programme of the European Union (i-RISC project)(grant numbers:309129); Franco-Romanian (ANR-UEFISCDI) Joint Research Program (DIAMOND project); NSF(grant numbers:CCF-0963726,CCF- 1314147,ECCS-1500170); Fulbright Scholar Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7786873","Gradient descent bit-flipping;high throughput decoder;low complexity implementation;low-density parity-check codes;random generation","Decoding;Hardware;Iterative decoding;Algorithm design and analysis;Probabilistic logic;Complexity theory","","28","","24","IEEE","16 Dec 2016","April 2017","","IEEE","IEEE Journals"
"Thresholds of Absorbing Sets in Low-Density Parity-Check Codes","A. Tomasoni; S. Bellini; M. Ferrari","Consiglio Nazionale delle Ricerche, Istituto di Elettronica e di Ingegneria dell’Informazione e delle Telecomunicazioni, Milano, Italy; Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milano, Italy; Consiglio Nazionale delle Ricerche, Istituto di Elettronica e di Ingegneria dell’Informazione e delle Telecomunicazioni, Milano, Italy",IEEE Transactions on Communications,"15 Aug 2017","2017","65","8","3238","3249","The error floor phenomenon in many low-density parity-check (LDPC) codes is caused by combinatorial objects in their Tanner graph, known as absorbing sets. In this paper, we highlight a threshold behavior for the min-sum decoding algorithm in the graph of an absorbing set with fixed-point representation of messages. For an absorbing set of interest in a binary LDPC code we can compute the threshold, a novel real-valued parameter that is closely related to its harmfulness. We show that absorbing sets with negative thresholds cannot trap the decoder if the dynamic range of the extrinsic messages is large enough. We also prove that, in regular LDPC codes, absorbing sets with negative thresholds exist if the variable node degree is odd. The examples presented in this paper show that odd-column-weight LDPC codes can have many absorbing sets with negative thresholds, but that these absorbing sets do not trap a well-designed decoder. Simulations show a good agreement between the results of the analysis presented in this paper and the performance of practical decoders with fixed-point messages.","1558-0857","","10.1109/TCOMM.2017.2708088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7934127","Low-density parity-check codes;error floor;absorbing sets;min-sum decoding;threshold;Tanner graph","Decoding;Iterative decoding;Dynamic range;Analytical models;Limit-cycles;Algorithm design and analysis","","17","","41","IEEE","25 May 2017","Aug. 2017","","IEEE","IEEE Journals"
"Improving Windowed Decoding of SC LDPC Codes by Effective Decoding Termination, Message Reuse, and Amplification","I. Ali; J. -H. Kim; S. -H. Kim; H. Kwak; J. -S. No","College of Information and Communication Engineering, Sungkyunkwan University, Suwon, South Korea; College of Information and Communication Engineering, Sungkyunkwan University, Suwon, South Korea; College of Information and Communication Engineering, Sungkyunkwan University, Suwon, South Korea; INMC, Seoul National University, Seoul, South Korea; INMC, Seoul National University, Seoul, South Korea",IEEE Access,"9 Mar 2018","2018","6","","9336","9346","In this paper, we address a number of weaknesses of the windowed decoding of spatially coupled low-density parity-check (SC LDPC) codes and propose three modifications that simultaneously improve its performance, complexity, and latency. An effective termination method of the windowed decoding and the reuse of edge messages of previous target symbols provide a good performance-latency tradeoff when compared with the conventional windowed decoder. Also, we propose a scheme that lowers the error floor, in which the amplified edge messages of the previous window are used in the present window. The proposed windowed decoding, consisting of the three schemes, provides a significant performance gain with smaller latency. The validity of the new windowed decoding is verified by the evaluation with codes from different SC LDPC ensembles.","2169-3536","","10.1109/ACCESS.2017.2771375","MSIT, Korea, under the ITRC support program supervised by the IITP(grant numbers:IITP-2016-000309-002); Basic Science Research Program through the NRF of Korea; Ministry of Education(grant numbers:NRF-2015R1D1A1A01058975); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8101470","Spatially coupled LDPC codes;windowed decoder;density evolution;decoding termination","Decoding;Couplings;Iterative decoding;Convolutional codes;Complexity theory;Block codes","","20","","26","OAPA","9 Nov 2017","2018","","IEEE","IEEE Journals"
