ID,Type,Title,Authors,Abstract,Categories,Published,DOI,PDF URL,Status
ieee:5174519,journal,On asymptotic ensemble weight enumerators of LDPC-like codes,"Chung-Li Wang, Marc P.C. Fossorier","For LDPC-like codes such as LDPC, GLDPC, and DGLDPC codes, it is well known that the error floor can be caused by the codewords of small weights or stopping sets of small sizes. In this paper, we investigate the computation of asymptotic weight enumerators such that it becomes a convenient tool to determine a good distribution of code ensembles. In addition, by analyzing the first order approximat...",,August 200,10.1109/JSAC.2009.090808,https://ieeexplore.ieee.org/document/5174519,new
ieee:5200902,journal,Shortening for irregular QC-LDPC codes,"Xiaojian Liu, Xiaofu Wu, Chunming Zhao","Shortening is a technique to obtain codes of shorter length and lower rate from a given LDPC code by putting infinite reliability on some variable nodes, whose positions are assumed to be available to both encoder and decoder. In this paper, we propose a shortening algorithm suitable for irregular QC-LDPC codes. The efficiency of the proposed algorithm is verified by both theoretical analysis and ...",,August 200,10.1109/LCOMM.2009.091026,https://ieeexplore.ieee.org/document/5200902,new
ieee:5174513,journal,Geometrically-structured maximum-girth LDPC block and convolutional codes,"Morteza Esmaeili, Mohammad Gholami","Four classes of maximum-girth geometrically structured column-weight-two regular quasi-cyclic (QC) low-density parity-check (LDPC) codes are introduced. Two classes of these codes, referred to as Type-I and Type-II codes, are with row-weights 4 and 3, and maximum girths 16 and 24, respectively. The idea behind the construction of these two classes of codes, with rates at least 1/2 and 1/3, is slig...",,August 200,10.1109/JSAC.2009.090802,https://ieeexplore.ieee.org/document/5174513,new
ieee:5200898,journal,Design of joint network-low density parity check codes based on the EXIT charts,"Ying Li, Guanghui Song, Lili Wang","For the multiple-access relay network where two sources communicate with one destination in the presence of one relay, a practical joint network-low density parity check code is designed to help the relay jointly re-encode the messages from both sources. A bilayer extrinsic information transfer chart is developed based on which a design methodology is proposed to iteratively improve the degree dis...",,August 200,10.1109/LCOMM.2009.090201,https://ieeexplore.ieee.org/document/5200898,new
ieee:5174520,journal,Predicting error floors of structured LDPC codes: deterministic bounds and estimates,"L. Dolecek, P. Lee, Zhengya Zhang, V. Anantharam, B. Nikolic, M. Wainwright","The error-correcting performance of low-density parity check (LDPC) codes, when decoded using practical iterative decoding algorithms, is known to be close to Shannon limits for codes with suitably large blocklengths. A substantial limitation to the use of finite-length LDPC codes is the presence of an error floor in the low frame error rate (FER) region. This paper develops a deterministic method...",,August 200,10.1109/JSAC.2009.090809,https://ieeexplore.ieee.org/document/5174520,new
ieee:5174514,journal,Efficient encoding of QC-LDPC codes related to cyclic MDS codes,"Norifumi Kamiya, Eisaku Sasaki","In this paper, we present an efficient systematic encoding algorithm for quasi-cyclic (QC) low-density parity check (LDPC) codes that are related to cyclic maximum-distance separable (MDS) codes. The algorithm offers linear time complexity, and it can be easily implemented by using polynomial multiplication and division circuits. We show that the division polynomials can be completely characterize...",,August 200,10.1109/JSAC.2009.090803,https://ieeexplore.ieee.org/document/5174514,new
ieee:5174527,journal,High-throughput layered decoder implementation for quasi-cyclic LDPC codes,"Kai Zhang, Xinming Huang, Zhongfeng Wang","This paper presents a high-throughput decoder design for the Quasi-Cyclic (QC) Low-Density Parity-Check (LDPC) codes. Two new techniques are proposed, including parallel layered decoding architecture (PLDA) and critical path splitting. PLDA enables parallel processing for all layers by establishing dedicated message passing paths among them. The decoder avoids crossbar-based large interconnect net...",,August 200,10.1109/JSAC.2009.090816,https://ieeexplore.ieee.org/document/5174527,new
ieee:5174518,journal,Design and analysis of E2RC codes,"Cuizhu Shi, Aditya Ramamoorthy",We consider the design and analysis of the efficiently-encodable rate-compatible (E2RC) irregular LDPC codes proposed in previous work. In this work we introduce semi-structured E2RC-like codes and protograph E2RC codes. EXIT chart based methods are developed for the design of semi-structured E2RC-like codes that allow us to determine near-optimal degree distributions for the systematic part of th...,,August 200,10.1109/JSAC.2009.090807,https://ieeexplore.ieee.org/document/5174518,new
ieee:5277954,journal,Design of a high-throughput IDPC decoder for DVB-S2 using local memory banks,"Seong-Woon Kim, Chang-Soo Park, Sun-Young Hwang","This paper proposes a novel LDPC (Low-Density Parity Check) decoder architecture to increase throughput for DVB-S2, a second generation standard of ETSI (European Telecommunications Standards Institute) for European satellite digital video broadcasting system, which is employed in European digital TVs. The proposed architecture clusters nodes of a Tanner graph into node groups utilizing the proper...",,August 200,10.1109/TCE.2009.5277954,https://ieeexplore.ieee.org/document/5277954,new
ieee:5174525,journal,Design of rate-compatible structured LDPC codes for hybrid ARQ applications,"Mostafa El-Khamy, Jilei Hou, Naga Bhushan","In this paper, families of rate-compatible protograph-based LDPC codes that are suitable for incrementalredundancy hybrid ARQ applications are constructed. A systematic technique to construct low-rate base codes from a higher rate code is presented. The base codes are designed to be robust against erasures while having a good performance on error channels. A progressive node puncturing algorithm i...",,August 200,10.1109/JSAC.2009.090814,https://ieeexplore.ieee.org/document/5174525,new
