ID,Type,Title,Authors,Abstract,Categories,Published,DOI,PDF URL,Status
ieee:5494766,journal,Joint Channel and Network Coding for Cooperative Diversity in a Shared-Relay Environment,"Xiaoyan Xu, Mark F. Flanagan, Norbert Goertz, John Thompson",In this paper we propose a cooperative diversity scheme for the communication model of two sources sharing a single relay. The scheme uses algebraic code superposition relaying in the multiple access fading channel to create spatial diversity under the constraint of limited communications resources. We also describe in detail a novel computationally efficient message passing algorithm at the desti...,,August 201,10.1109/TWC.2010.061410.091230,https://ieeexplore.ieee.org/document/5494766,new
ieee:5510785,journal,Asymptotic Performance Analysis of Coded BLAST Architectures with Statistical Rate and Power Allocations,"Hyo-Jin Lee, Dong-Min Shin, Kyeongcheol Yang",In this paper we first analyze some mathematical properties of ergodic capacity and outage capacity functions of the layers in Bell labs layered space-time (BLAST) architectures employing successive decoding and interference cancellation. We then present statistical rate allocation and power allocation methods that optimize the asymptotic performance of BLAST architectures. Since the methods are d...,,August 201,10.1109/TCOMM.2010.062510.090120,https://ieeexplore.ieee.org/document/5510785,new
ieee:5555878,journal,On the Dynamics of Analog Min-Sum Iterative Decoders: An Analytical Approach,"Saied Hemati, Abbas Yongaçoglu","In this paper, we show an ideal analog min-sum decoder, in the log-likelihood ratio domain, can be considered as a piecewise linear system. Many theoretical aspects of these decoders, thus, can be studied analytically. It is also shown that the dynamic equations can become singular for codes with cycles. When it is non-singular, the corresponding dynamic equations can be solved analytically to der...",,August 201,10.1109/TCOMM.2010.08.080181,https://ieeexplore.ieee.org/document/5555878,new
ieee:5545658,journal,Nested Polar Codes for Wiretap and Relay Channels,"Mattias Andersson, Vishwambhar Rathi, Ragnar Thobaben, Jorg Kliewer, Mikael Skoglund","We show that polar codes asymptotically achieve the whole capacity-equivocation region for the wiretap channel when the wiretapper&#39;s channel is degraded with respect to the main channel, and the weak secrecy notion is used. Our coding scheme also achieves the capacity of the physically degraded receiver-orthogonal relay channel. We show simulation results for moderate block length for the binary e...",,August 201,10.1109/LCOMM.2010.08.100875,https://ieeexplore.ieee.org/document/5545658,new
ieee:5545659,journal,Trapping Sets of Fountain Codes,"Vivian Lucia Orozco, Shahram Yousefi","The remarkable results of Fountain codes over the binary erasure channel (BEC) have motivated research on their practical implementation over noisy channels. Trapping sets are a phenomenon of great practical importance for certain graph codes on noisy channels. Although trapping sets have been extensively studied for low-density parity-check (LDPC) codes, to the best of our knowledge they have nev...",,August 201,10.1109/LCOMM.2010.08.100548,https://ieeexplore.ieee.org/document/5545659,new
ieee:5555872,journal,Approximate Performance Analysis for Linear Codes in Superposition Schemes over Gaussian Broadcast Channels,"Uttam Bhat, Dario Fertonani, Tolga M. Duman","Unequal error-protection schemes obtained by means of two-level superposition coding are considered. Their performance over Gaussian broadcast channels (GBCs) is investigated with optimal maximum-likelihood decoding as well as with a suboptimal decoding strategy based on interference cancellation. We focus on GBCs without fading and, assuming that linear codes are used, we evaluate, for both decod...",,August 201,10.1109/TCOMM.2010.08.090427,https://ieeexplore.ieee.org/document/5555872,new
ieee:5555886,journal,Optimal Routing for Decode-Forward in Cooperative Wireless Networks,"Lawrence Ong, Mehul Motani","We investigate routing in cooperative multiple-terminal wireless networks in which the nodes can collaborate with each other in data transmission. First, we motivate cooperation by showing that decode-forward, an information-theoretic cooperative coding strategy, achieves rates significantly higher than those achievable by the conventional multi-hop routing, a point-to-point non-cooperative coding...",,August 201,10.1109/TCOMM.2010.08.090134,https://ieeexplore.ieee.org/document/5555886,new
ieee:5491028,journal,LDPC-Coded OFDM for Heterogeneous Access Optical Networks,"Ivan B. Djordjevic, Hussam G. Batshon","In this paper, we propose a heterogeneous optical access networking scenario, in which communication links between source and destination nodes are heterogeneous, composed of free-space optical, plastic optical fiber (POF), and indoor infrared (IR) links. To deal with bandwidth limitations of POF and IR links, a power-variable rate-adaptive low-density parity-check (LDPC)-coded orthogonal frequenc...",,Aug. 2010,10.1109/JPHOT.2010.2051943,https://ieeexplore.ieee.org/document/5491028,new
ieee:5606293,journal,A new DC-free multimode code design with error correction capability for optical storage systems,Jun Lee,"DC-free run-length limited codes have been the cornerstone of all three generations of optical recording, CD, DVD and BD. Research into efficient coding methods is paramount for the upcoming fourth generation. A Multimode coding technique is an efficient coding method that has been reported in the literatures. Under multimode coding rules, a user word is translated into a plurality of possible can...",,Aug. 2010,10.1109/TCE.2010.5606293,https://ieeexplore.ieee.org/document/5606293,new
ieee:5508626,journal,"Performance Bounds for Erasure, List, and Decision Feedback Schemes With Linear Block Codes","Eran Hof, Igal Sason, Shlomo Shamai","A message independence property and some new performance upper bounds are derived in this work for erasure, list, and decision-feedback schemes with linear block codes transmitted over memoryless symmetric channels. Similar to the classical work of Forney, this work is focused on the derivation of some Gallager-type bounds on the achievable tradeoffs for these coding schemes, where the main novelt...",,Aug. 2010,10.1109/TIT.2010.2050797,https://ieeexplore.ieee.org/document/5508626,new
