ID,Type,Title,Authors,Abstract,Categories,Published,DOI,PDF URL,Status
ieee:10848274,journal,Application of LDPC Code in PM-DQPSK System of Consumer Internet of Things Networks,"Yupeng Li, Jiaxin Xue, Xiao Wu, Yanyue Zhang, Yichao Zhang","The consumer Internet of Things (CIoT) encompasses trillions of next-generation consumer electronics, which are defined as interconnected and intelligent devices designed for consumer-grade use. Enormous volumes of data are continuously collected and transmitted worldwide. Optical fiber communication, with its abundant bandwidth resources, is well-suited for transmitting such massive amounts of da...",,May 2025,10.1109/TCE.2025.3532437,https://ieeexplore.ieee.org/document/10848274,new
ieee:10912471,journal,Ternary Message Passing Decoding of High-Rate Regular LDPC Codes,"Qiushi Xu, Ming Jiang, Fan Ding, Yi Wang","In this letter, we present an improved ternary message passing (TMP) decoding scheme designed for the high-rate regular low-density parity-check (LDPC) codes, which are widely used in storage systems. The decoders in this approach transmit information internally by only three states, and compared to traditional normalized min-sum decoding, it retains only sign multiplication operations, resulting ...",,May 2025,10.1109/LCOMM.2025.3548305,https://ieeexplore.ieee.org/document/10912471,new
ieee:10816089,journal,Extensible Polar Codes for Dynamic User Loads in IDMA Systems,"Jingqiu Gao, Pingzhi Fan, Linjie Yang, Li Li","This paper introduces a class of extensible polar codes for dynamic interleave-division multiple-access (IDMA) systems specifically designed to support short packet transmissions. The code can be dynamically shortened or extended by leveraging the generator matrix extension feature, allowing the code structure to be adaptive to varying user loads. To significantly enhance system performance, we es...",,May 2025,10.1109/TVT.2024.3522592,https://ieeexplore.ieee.org/document/10816089,new
ieee:10879049,journal,Memory-Assisted Quantized LDPC Decoding,"Philipp Mohr, Gerhard Bauch","We enhance coarsely quantized LDPC decoding by reusing computed check node messages from previous iterations. Typically, variable and check nodes update and replace old messages every iteration. We show that, under coarse quantization, discarding old messages entails a significant loss of mutual information. The loss is avoided with additional memory, improving performance by up to 0.23 dB. We opt...",,May 2025,10.1109/LCOMM.2025.3540277,https://ieeexplore.ieee.org/document/10879049,new
ieee:10909205,journal,Generalized Fourier Transform Pair Codes,"Yaping Lv, Suihua Cai, Xiao Ma","This letter is concerned with Fourier transform pair (FTP) codes over finite fields. Given any element of order n in a finite field, we can construct an FTP code with length  $2n$ , dimension n, and minimum distance at least  $2\sqrt {n}$ . Distinguishingly, an FTP code defined with any element (if it exists) of order 2, 3 or 5 in a finite field is a maximum distance separable code. In this letter...",,May 2025,10.1109/LCOMM.2025.3547330,https://ieeexplore.ieee.org/document/10909205,new
ieee:10884829,journal,"Random Staircase Generator Matrix Codes: Coding Theorem, Performance Analysis, and Code Design","Qianfan Wang, Yiwen Wang, Yixin Wang, Jifan Liang, Xiao Ma","In this paper, we present a class of codes, referred to as random staircase generator matrix codes (SGMCs), which have staircase-like generator matrices. In the infinite-length region, we prove that the random SGMC is capacity-achieving over binary-input output-symmetric (BIOS) channels. In the finite-length region, we propose the generalized representative ordered statistics decoding with local c...",,May 2025,10.1109/TIT.2025.3541734,https://ieeexplore.ieee.org/document/10884829,new
ieee:10908838,journal,TRHyper: Low-Complexity Hypernetwork for Channel Neural Decoding With Learning Weights in Tensor Ring Format,"Yuanhui Liang, Chan-Tong Lam, Qingle Wu, Benjamin K. Ng, Sio-Kei Im","In this letter, we propose a low-complexity hypernetwork for channel neural decoding with learning weights in tensor ring (TR) format, called TRHyper. The internal parameters and the number of layers of the TRHyper based channel neural decoding algorithm can be updated without retraining. We design the size of each TRHyper layer according to the size of the factor tensor in tensor ring format. Dur...",,May 2025,10.1109/LCOMM.2025.3546260,https://ieeexplore.ieee.org/document/10908838,new
ieee:10713414,journal,Deep Reinforcement Learning-Based Ultra Reliable and Low Latency Vehicular OCC,"Amirul Islam, Nikolaos Thomos, Leila Musavian","In this paper, we present a deep reinforcement learning (DRL) framework for vehicular optical camera communication (OCC) systems that ensures ultra-reliable and low-latency communication (uRLLC). We first formulate a throughput maximization problem that aims at optimizing speed of vehicles, channel code rate, and modulation order while respecting the uRLLC requirements. We model reliability by sat...",,May 2025,10.1109/TCOMM.2024.3478108,https://ieeexplore.ieee.org/document/10713414,new
ieee:10891380,journal,A Novel Scheme for Data Security in AAV Communication Networks for Preventing Data Breach,"Gaoyuan Zhang, Ruisong Si, Congfang Ma, Baofeng Ji, Weiguang Wang, Yu Mu, Yiwei Li, Shahid Mumtaz","The data security is crucial for autonomous aerial vehicles (AAVs) to ensure the integrity of data, prevent fraud, and authentication process. In order to achieve unconditional security for data in AAVs communication networks, this research study proposes a simple feedback method for wiretap channel-I (WTC-I) to establish a communication with the receiving link. The threshold effect (decides the e...",,May 2025,10.1109/TCE.2025.3542826,https://ieeexplore.ieee.org/document/10891380,new
ieee:10731861,journal,Iterative Bounded Distance Decoding With Random Flipping for Product-Like Codes,"Guorong Li, Shiguo Wang, Shancheng Zhao","Product-like codes are widely used in high-speed communication systems since they can be decoded with low-complexity hard decision decoders (HDDs). To meet the growing demand of data rates, enhanced HDDs are required. In this paper, we propose a novel soft-aided HDD (SA-HDD), termed iterative bounded distance decoding with random flipping (iBDD-RF), for product-like codes. In iBDD-RF, the soft rel...",,May 2025,10.1109/TCOMM.2024.3484935,https://ieeexplore.ieee.org/document/10731861,new
